r_seed=1,   C[0],   C[1],   H[2],   H[3],  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208908,   0.201866,  -0.691395,   0.688200,  
Y Velocity[A/fs],  -0.016181,   0.013052,   0.069090,  -0.042789, 
Z Velocity[A/fs],   0.009173,  -0.000927,   0.002533,  -0.006412,  
Speed[A/fs],   0.209734,   0.202290,   0.694843,   0.689559,  
 
r_seed=53,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.201772,   0.209026,  -0.689937,   0.695545,  
Y Velocity[A/fs],  -0.014980,   0.006018,   0.026596,   0.007496, 
Z Velocity[A/fs],   0.001228,   0.001480,  -0.001474,  -0.024712,  
Speed[A/fs],   0.202331,   0.209118,   0.690451,   0.696024,  
 
r_seed=54,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.211198,   0.200809,  -0.696035,   0.684824,  
Y Velocity[A/fs],   0.001695,  -0.009684,  -0.032354,   0.029332, 
Z Velocity[A/fs],  -0.009314,   0.004296,  -0.007180,   0.014722,  
Speed[A/fs],   0.211410,   0.201088,   0.696823,   0.685610,  
 
r_seed=55,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.203047,   0.206759,  -0.692791,   0.695365,  
Y Velocity[A/fs],  -0.005227,   0.007391,  -0.009080,   0.029931, 
Z Velocity[A/fs],   0.013190,  -0.010972,  -0.008658,  -0.019486,  
Speed[A/fs],   0.203542,   0.207181,   0.692905,   0.696281,  
 
r_seed=56,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.212047,   0.199429,  -0.698011,   0.683510,  
Y Velocity[A/fs],  -0.000297,   0.001705,  -0.033079,   0.055174, 
Z Velocity[A/fs],   0.001142,  -0.001019,  -0.019549,   0.036772,  
Speed[A/fs],   0.212050,   0.199439,   0.699068,   0.686718,  
 
r_seed=57,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207998,   0.202560,  -0.697381,   0.688286,  
Y Velocity[A/fs],   0.002998,  -0.000994,  -0.010010,  -0.041661, 
Z Velocity[A/fs],  -0.015490,   0.006613,   0.014629,  -0.001508,  
Speed[A/fs],   0.208595,   0.202670,   0.697606,   0.689547,  
 
r_seed=58,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210450,   0.202256,  -0.688945,   0.685779,  
Y Velocity[A/fs],   0.008168,  -0.011019,  -0.005489,  -0.020505, 
Z Velocity[A/fs],   0.010402,  -0.002384,  -0.076336,   0.000951,  
Speed[A/fs],   0.210865,   0.202570,   0.693183,   0.686087,  
 
r_seed=59,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210504,   0.200441,  -0.698804,   0.684989,  
Y Velocity[A/fs],   0.010278,   0.002590,  -0.001997,  -0.048783, 
Z Velocity[A/fs],   0.000737,  -0.001735,  -0.016313,   0.041371,  
Speed[A/fs],   0.210757,   0.200465,   0.698997,   0.687969,  
 
r_seed=60,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.205357,   0.206055,  -0.689595,   0.692905,  
Y Velocity[A/fs],   0.003246,  -0.000387,   0.018658,   0.018432, 
Z Velocity[A/fs],  -0.014581,   0.004536,   0.048450,  -0.006247,  
Speed[A/fs],   0.205899,   0.206105,   0.691547,   0.693179,  
 
r_seed=61,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.211976,   0.198760,  -0.699423,   0.685379,  
Y Velocity[A/fs],  -0.007127,   0.000946,   0.016285,  -0.032046, 
Z Velocity[A/fs],   0.007205,  -0.000756,  -0.026566,  -0.040936,  
Speed[A/fs],   0.212218,   0.198763,   0.700117,   0.687347,  
 
r_seed=62,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207927,   0.203650,  -0.692390,   0.691181,  
Y Velocity[A/fs],  -0.006260,  -0.010124,   0.031859,   0.014963, 
Z Velocity[A/fs],  -0.000766,  -0.001203,   0.009244,   0.022770,  
Speed[A/fs],   0.208022,   0.203905,   0.693185,   0.691718,  
 
r_seed=63,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207694,   0.203641,  -0.692093,   0.686112,  
Y Velocity[A/fs],  -0.009243,   0.016674,   0.052162,  -0.051197, 
Z Velocity[A/fs],  -0.011841,   0.004285,  -0.018902,  -0.014588,  
Speed[A/fs],   0.208237,   0.204367,   0.694313,   0.688174,  
 
r_seed=64,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209895,   0.202046,  -0.691230,   0.686498,  
Y Velocity[A/fs],  -0.005438,   0.000870,   0.075446,  -0.003246, 
Z Velocity[A/fs],   0.007101,  -0.006588,  -0.016451,   0.046216,  
Speed[A/fs],   0.210085,   0.202155,   0.695530,   0.688060,  
 
r_seed=65,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.205917,   0.204359,  -0.691277,   0.693673,  
Y Velocity[A/fs],   0.003434,  -0.008391,  -0.031030,   0.037647, 
Z Velocity[A/fs],  -0.003595,  -0.001972,   0.066608,   0.011603,  
Speed[A/fs],   0.205977,   0.204541,   0.695172,   0.694791,  
 
r_seed=66,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.211294,   0.199880,  -0.697774,   0.686429,  
Y Velocity[A/fs],   0.002123,   0.008760,  -0.029325,  -0.010446, 
Z Velocity[A/fs],  -0.009546,   0.002536,  -0.018010,  -0.021845,  
Speed[A/fs],   0.211520,   0.200088,   0.698622,   0.686856,  
 
r_seed=67,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.205592,   0.205944,  -0.692932,   0.688444,  
Y Velocity[A/fs],   0.002840,   0.001911,  -0.033391,   0.059473, 
Z Velocity[A/fs],   0.004482,  -0.004875,   0.012508,   0.037923,  
Speed[A/fs],   0.205660,   0.206011,   0.693849,   0.692047,  
 
r_seed=68,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.212483,   0.199712,  -0.692918,   0.685264,  
Y Velocity[A/fs],   0.012011,  -0.003219,  -0.037158,  -0.041554, 
Z Velocity[A/fs],   0.001526,  -0.003256,  -0.043650,  -0.001074,  
Speed[A/fs],   0.212828,   0.199764,   0.695285,   0.686524,  
 
r_seed=69,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206860,   0.203286,  -0.695196,   0.689791,  
Y Velocity[A/fs],   0.017203,  -0.009393,  -0.013244,  -0.034217, 
Z Velocity[A/fs],  -0.011697,   0.004086,   0.007483,  -0.028429,  
Speed[A/fs],   0.207903,   0.203544,   0.695362,   0.691224,  
 
r_seed=70,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.213349,   0.199396,  -0.696656,   0.679516,  
Y Velocity[A/fs],  -0.010483,   0.012267,   0.006931,  -0.041544, 
Z Velocity[A/fs],   0.004341,  -0.006236,   0.014400,   0.031397,  
Speed[A/fs],   0.213651,   0.199870,   0.696839,   0.681508,  
 
r_seed=71,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210360,   0.200538,  -0.698579,   0.686634,  
Y Velocity[A/fs],   0.000335,  -0.000335,  -0.037610,  -0.011213, 
Z Velocity[A/fs],  -0.000093,   0.004954,  -0.025467,  -0.040090,  
Speed[A/fs],   0.210360,   0.200599,   0.700054,   0.687895,  
 
r_seed=72,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208020,   0.203153,  -0.692400,   0.688441,  
Y Velocity[A/fs],  -0.008481,   0.003175,   0.034972,  -0.036577, 
Z Velocity[A/fs],   0.012979,  -0.009889,   0.013367,   0.048947,  
Speed[A/fs],   0.208597,   0.203418,   0.693411,   0.691148,  
 
r_seed=73,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209399,   0.202124,  -0.690990,   0.686566,  
Y Velocity[A/fs],  -0.000071,  -0.010627,   0.029578,   0.013710, 
Z Velocity[A/fs],   0.011759,  -0.013951,  -0.072988,   0.013613,  
Speed[A/fs],   0.209729,   0.202884,   0.695463,   0.686838,  
 
r_seed=74,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207883,   0.204203,  -0.693479,   0.687888,  
Y Velocity[A/fs],  -0.003478,   0.006494,   0.035080,  -0.042826, 
Z Velocity[A/fs],  -0.001083,  -0.002029,   0.002373,  -0.019126,  
Speed[A/fs],   0.207915,   0.204316,   0.694369,   0.689485,  
 
r_seed=75,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210381,   0.200865,  -0.694608,   0.684508,  
Y Velocity[A/fs],   0.001062,  -0.002234,   0.055188,  -0.003643, 
Z Velocity[A/fs],   0.013992,  -0.013600,   0.023445,   0.050912,  
Speed[A/fs],   0.210848,   0.201337,   0.697191,   0.686408,  
 
r_seed=76,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206777,   0.205329,  -0.689500,   0.689695,  
Y Velocity[A/fs],   0.006387,  -0.014383,   0.014496,  -0.011267, 
Z Velocity[A/fs],  -0.005604,  -0.013795,   0.030823,   0.011018,  
Speed[A/fs],   0.206952,   0.206294,   0.690341,   0.689875,  
 
r_seed=77,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.203255,   0.207703,  -0.691452,   0.694586,  
Y Velocity[A/fs],   0.006232,   0.002840,  -0.029114,  -0.009595, 
Z Velocity[A/fs],  -0.000889,  -0.003804,   0.011251,  -0.037087,  
Speed[A/fs],   0.203353,   0.207757,   0.692156,   0.695642,  
 
r_seed=78,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208822,   0.202800,  -0.688407,   0.687976,  
Y Velocity[A/fs],   0.013351,  -0.002870,  -0.032833,   0.007933, 
Z Velocity[A/fs],   0.014814,  -0.009250,  -0.063415,   0.046121,  
Speed[A/fs],   0.209773,   0.203031,   0.692100,   0.689566,  
 
r_seed=79,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208429,   0.202023,  -0.698036,   0.688975,  
Y Velocity[A/fs],  -0.004428,   0.000119,  -0.024247,  -0.047361, 
Z Velocity[A/fs],   0.003893,  -0.008091,   0.005520,  -0.008596,  
Speed[A/fs],   0.208513,   0.202185,   0.698479,   0.690654,  
 
r_seed=80,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209166,   0.203343,  -0.693812,   0.681827,  
Y Velocity[A/fs],  -0.002298,  -0.012457,   0.002156,   0.063426, 
Z Velocity[A/fs],  -0.002836,   0.000896,   0.021990,  -0.056584,  
Speed[A/fs],   0.209198,   0.203726,   0.694164,   0.687105,  
 
r_seed=81,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.212672,   0.198852,  -0.697241,   0.683746,  
Y Velocity[A/fs],   0.003622,  -0.000634,  -0.048017,   0.035737, 
Z Velocity[A/fs],   0.003373,  -0.002147,  -0.034620,   0.033594,  
Speed[A/fs],   0.212729,   0.198864,   0.699749,   0.685503,  
 
r_seed=82,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.213447,   0.198585,  -0.696845,   0.683863,  
Y Velocity[A/fs],  -0.002089,   0.000095,   0.009516,   0.016280, 
Z Velocity[A/fs],   0.004879,  -0.014546,   0.021277,  -0.015909,  
Speed[A/fs],   0.213513,   0.199117,   0.697235,   0.684241,  
 
r_seed=83,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206561,   0.205463,  -0.693368,   0.684657,  
Y Velocity[A/fs],   0.000646,  -0.004219,   0.028295,  -0.045553, 
Z Velocity[A/fs],  -0.000545,  -0.008186,  -0.021325,   0.068698,  
Speed[A/fs],   0.206563,   0.205670,   0.694272,   0.689601,  
 
r_seed=84,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206230,   0.204481,  -0.693376,   0.690956,  
Y Velocity[A/fs],  -0.001781,   0.006950,   0.003978,   0.055117, 
Z Velocity[A/fs],   0.010316,  -0.011827,  -0.003629,   0.015435,  
Speed[A/fs],   0.206495,   0.204941,   0.693396,   0.693323,  
 
r_seed=85,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210541,   0.201387,  -0.692176,   0.685304,  
Y Velocity[A/fs],  -0.001955,   0.005119,   0.024569,   0.038695, 
Z Velocity[A/fs],  -0.001845,  -0.003888,   0.074812,  -0.038812,  
Speed[A/fs],   0.210558,   0.201490,   0.696640,   0.687492,  
 
r_seed=86,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.210249,   0.202024,  -0.694078,   0.680464,  
Y Velocity[A/fs],   0.007159,  -0.018261,   0.011405,   0.073123, 
Z Velocity[A/fs],  -0.005225,   0.011754,  -0.004709,  -0.009741,  
Speed[A/fs],   0.210436,   0.203188,   0.694188,   0.684451,  
 
r_seed=87,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209527,   0.201831,  -0.691339,   0.685869,  
Y Velocity[A/fs],   0.016605,  -0.012105,  -0.071645,   0.031245, 
Z Velocity[A/fs],   0.007957,  -0.007341,   0.024396,  -0.005296,  
Speed[A/fs],   0.210335,   0.202327,   0.695469,   0.686600,  
 
r_seed=88,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208792,   0.202480,  -0.692982,   0.688624,  
Y Velocity[A/fs],  -0.006541,   0.011364,  -0.014126,  -0.016233, 
Z Velocity[A/fs],   0.003252,  -0.006624,  -0.025865,  -0.061408,  
Speed[A/fs],   0.208920,   0.202907,   0.693609,   0.691547,  
 
r_seed=89,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206327,   0.203826,  -0.696272,   0.693049,  
Y Velocity[A/fs],  -0.007750,   0.005058,  -0.024490,   0.015755, 
Z Velocity[A/fs],  -0.003835,  -0.004007,   0.012504,   0.016298,  
Speed[A/fs],   0.206508,   0.203928,   0.696815,   0.693419,  
 
r_seed=90,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209403,   0.202069,  -0.691733,   0.683816,  
Y Velocity[A/fs],  -0.004694,  -0.001589,  -0.018166,   0.041098, 
Z Velocity[A/fs],   0.012141,  -0.014026,  -0.062921,   0.067336,  
Speed[A/fs],   0.209807,   0.202562,   0.694826,   0.688351,  
 
r_seed=91,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.211317,   0.202561,  -0.691716,   0.682605,  
Y Velocity[A/fs],   0.008239,  -0.002082,  -0.036014,   0.014184, 
Z Velocity[A/fs],  -0.006827,  -0.001508,   0.030359,   0.025502,  
Speed[A/fs],   0.211587,   0.202578,   0.693318,   0.683228,  
 
r_seed=92,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.212990,   0.199445,  -0.695043,   0.682112,  
Y Velocity[A/fs],  -0.002433,   0.008168,  -0.000151,  -0.054025, 
Z Velocity[A/fs],  -0.003413,  -0.007594,   0.048786,   0.009864,  
Speed[A/fs],   0.213031,   0.199756,   0.696753,   0.684319,  
 
r_seed=93,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207223,   0.203843,  -0.692264,   0.689374,  
Y Velocity[A/fs],   0.010860,  -0.017167,  -0.040056,  -0.032266, 
Z Velocity[A/fs],   0.003509,   0.000461,   0.028900,   0.014065,  
Speed[A/fs],   0.207537,   0.204565,   0.694024,   0.690272,  
 
r_seed=94,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.211941,   0.198651,  -0.699200,   0.686473,  
Y Velocity[A/fs],   0.008943,  -0.005318,   0.008063,   0.017337, 
Z Velocity[A/fs],   0.000428,  -0.006164,  -0.035682,   0.031938,  
Speed[A/fs],   0.212130,   0.198818,   0.700157,   0.687434,  
 
r_seed=95,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.205303,   0.204697,  -0.692132,   0.692411,  
Y Velocity[A/fs],   0.013510,  -0.017630,  -0.050753,   0.006163, 
Z Velocity[A/fs],   0.005823,  -0.000505,  -0.032174,   0.011270,  
Speed[A/fs],   0.205829,   0.205455,   0.694736,   0.692531,  
 
r_seed=96,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.207986,   0.203747,  -0.689968,   0.687976,  
Y Velocity[A/fs],   0.012254,  -0.016636,   0.007295,   0.026728, 
Z Velocity[A/fs],  -0.000615,   0.005057,   0.044669,  -0.048323,  
Speed[A/fs],   0.208347,   0.204487,   0.691451,   0.690189,  
 
r_seed=97,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208273,   0.203923,  -0.692697,   0.687176,  
Y Velocity[A/fs],  -0.014283,   0.002166,   0.038630,  -0.003411, 
Z Velocity[A/fs],  -0.000089,  -0.009554,   0.014715,   0.016799,  
Speed[A/fs],   0.208763,   0.204158,   0.693929,   0.687390,  
 
r_seed=98,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.206865,   0.205229,  -0.690054,   0.691245,  
Y Velocity[A/fs],   0.001519,  -0.012255,  -0.036106,  -0.006414, 
Z Velocity[A/fs],   0.002974,   0.003652,  -0.027481,   0.007561,  
Speed[A/fs],   0.206892,   0.205627,   0.691544,   0.691316,  
 
r_seed=99,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.212436,   0.199232,  -0.696516,   0.684294,  
Y Velocity[A/fs],  -0.004011,   0.006016,  -0.060226,  -0.011617, 
Z Velocity[A/fs],  -0.002161,   0.009157,   0.018756,   0.008618,  
Speed[A/fs],   0.212485,   0.199533,   0.699366,   0.684447,  
 
r_seed=100,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.208631,   0.203022,  -0.689470,   0.689589,  
Y Velocity[A/fs],  -0.003746,   0.002354,  -0.062270,   0.013179, 
Z Velocity[A/fs],  -0.009674,   0.004308,   0.060903,   0.004957,  
Speed[A/fs],   0.208889,   0.203081,   0.694950,   0.689733,  
 
r_seed=101,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.205055,   0.207128,  -0.683039,   0.690701,  
Y Velocity[A/fs],   0.010999,  -0.011859,  -0.021253,   0.040462, 
Z Velocity[A/fs],   0.018467,  -0.006309,  -0.066219,  -0.005926,  
Speed[A/fs],   0.206179,   0.207563,   0.686570,   0.691911,  
 
r_seed=102,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.209919,   0.201506,  -0.694312,   0.688085,  
Y Velocity[A/fs],  -0.002401,   0.011478,  -0.016989,   0.024410, 
Z Velocity[A/fs],  -0.004835,   0.012983,   0.025758,   0.009026,  
Speed[A/fs],   0.209989,   0.202249,   0.694997,   0.688577,  
 
r_seed=103,   C[0],   C[1],   H[2],   H[3],  
Charges,    2.0653000000,    2.2552000000,    0.9991000000,    0.9999000000,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    6.3195000000, 
X Velocity[A/fs],  -0.205155,   0.205864,  -0.692832,   0.688292,  
