"","Incident Point","Reaction","Value","Details","Combined","Velocity"
"3","x2.1778327652y0z-0.3568189771","A","--","\mathrm{C_3H_8}^{+0.86}, \mathrm{H}^{+0.37}","\makecell{A, -- \\ $\mathrm{C_3H_8}^{+0.86}$ \\ $\mathrm{H}^{+0.37}$}","0.7"
"4","x1.7270955706y0z-0.04468316015","S","17.22","\mathrm{C_3H_7}^{+1.06}, \mathrm{H}^{+0.15}, \mathrm{H}^{+0.13}","\makecell{S, 17.22 \\ $\mathrm{C_3H_7}^{+1.06}$ \\ $\mathrm{H}^{+0.15}$ \\ $\mathrm{H}^{+0.13}$}","0.7"
"0","x0y0z-0.5808786833","S","16.42","\mathrm{C_3H_8}^{+1.12}, \mathrm{H}^{+0.30}","\makecell{S, 16.42 \\ $\mathrm{C_3H_8}^{+1.12}$ \\ $\mathrm{H}^{+0.30}$}","0.9"
"1","x1.276358376y0z0.2674526568","S","16.15","\mathrm{C_2H_5}^{+0.67}, \mathrm{CH_3}^{+0.35}, \mathrm{H}^{+0.36}","\makecell{S, 16.15 \\ $\mathrm{C_2H_5}^{+0.67}$ \\ $\mathrm{CH_3}^{+0.35}$ \\ $\mathrm{H}^{+0.36}$}","0.9"
"2","x0.638179188y0z-0.15671301325","S","7.04","\mathrm{C_3H_8}^{+0.96}, \mathrm{H}^{+0.42}","\makecell{S, 7.04 \\ $\mathrm{C_3H_8}^{+0.96}$ \\ $\mathrm{H}^{+0.42}$}","0.9"
"3","x2.1778327652y0z-0.3568189771","A","--","\mathrm{C_3H_8}^{+0.88}, \mathrm{H}^{+0.39}","\makecell{A, -- \\ $\mathrm{C_3H_8}^{+0.88}$ \\ $\mathrm{H}^{+0.39}$}","0.9"
"4","x1.7270955706y0z-0.04468316015","S","12.68","\mathrm{C_3H_7}^{+1.00}, \mathrm{H}^{+0.12}, \mathrm{H}^{+0.23}","\makecell{S, 12.68 \\ $\mathrm{C_3H_7}^{+1.00}$ \\ $\mathrm{H}^{+0.12}$ \\ $\mathrm{H}^{+0.23}$}","0.9"
"0","x0y0z-0.5808786833","S","23.27","\mathrm{C_3H_7}^{+1.12}, \mathrm{H}^{-0.03}, \mathrm{H}^{+0.32}","\makecell{S, 23.27 \\ $\mathrm{C_3H_7}^{+1.12}$ \\ $\mathrm{H}^{-0.03}$ \\ $\mathrm{H}^{+0.32}$}","1.1"
"1","x1.276358376y0z0.2674526568","S","23.13","\mathrm{C_2H_5}^{+0.75}, \mathrm{CH_3}^{+0.30}, \mathrm{H}^{+0.34}","\makecell{S, 23.13 \\ $\mathrm{C_2H_5}^{+0.75}$ \\ $\mathrm{CH_3}^{+0.30}$ \\ $\mathrm{H}^{+0.34}$}","1.1"
"2","x0.638179188y0z-0.15671301325","S","6.90","\mathrm{C_3H_8}^{+0.91}, \mathrm{H}^{+0.42}","\makecell{S, 6.90 \\ $\mathrm{C_3H_8}^{+0.91}$ \\ $\mathrm{H}^{+0.42}$}","1.1"
"3","x2.1778327652y0z-0.3568189771","A","--","\mathrm{C_3H_8}^{+0.88}, \mathrm{H}^{+0.38}","\makecell{A, -- \\ $\mathrm{C_3H_8}^{+0.88}$ \\ $\mathrm{H}^{+0.38}$}","1.1"
"4","x1.7270955706y0z-0.04468316015","S","10.16","\mathrm{C_3H_7}^{+0.82}, \mathrm{H}^{+0.19}, \mathrm{H}^{+0.33}","\makecell{S, 10.16 \\ $\mathrm{C_3H_7}^{+0.82}$ \\ $\mathrm{H}^{+0.19}$ \\ $\mathrm{H}^{+0.33}$}","1.1"
"0","x0y0z-0.5808786833","S","30.73","\mathrm{CH_2}^{+0.29}, \mathrm{CH_3}^{+0.31}, \mathrm{CH_3}^{+0.47}, \mathrm{H}^{+0.32}","\makecell{S, 30.73 \\ $\mathrm{CH_2}^{+0.29}$ \\ $\mathrm{CH_3}^{+0.31}$ \\ $\mathrm{CH_3}^{+0.47}$ \\ $\mathrm{H}^{+0.32}$}","1.3"
"1","x1.276358376y0z0.2674526568","S","30.34","\mathrm{C_2H_5}^{+0.68}, \mathrm{CH_2}^{+0.43}, \mathrm{H}^{-0.09}, \mathrm{H}^{+0.34}","\makecell{S, 30.34 \\ $\mathrm{C_2H_5}^{+0.68}$ \\ $\mathrm{CH_2}^{+0.43}$ \\ $\mathrm{H}^{-0.09}$ \\ $\mathrm{H}^{+0.34}$}","1.3"
"2","x0.638179188y0z-0.15671301325","S","6.22","\mathrm{C_3H_8}^{+0.88}, \mathrm{H}^{+0.46}","\makecell{S, 6.22 \\ $\mathrm{C_3H_8}^{+0.88}$ \\ $\mathrm{H}^{+0.46}$}","1.3"
"3","x2.1778327652y0z-0.3568189771","A","--","\mathrm{C_3H_8}^{+0.72}, \mathrm{H}^{+0.46}","\makecell{A, -- \\ $\mathrm{C_3H_8}^{+0.72}$ \\ $\mathrm{H}^{+0.46}$}","1.3"
"4","x1.7270955706y0z-0.04468316015","S","8.69","\mathrm{C_3H_7}^{+1.06}, \mathrm{H}^{-0.03}, \mathrm{H}^{+0.33}","\makecell{S, 8.69 \\ $\mathrm{C_3H_7}^{+1.06}$ \\ $\mathrm{H}^{-0.03}$ \\ $\mathrm{H}^{+0.33}$}","1.3"
