"","Incident Point","Reaction","Value","Details","Combined","Velocity"
"0","x0y0z-0.5808786833","S","-0.14","\mathrm{C_3H_7}^{+1.14}, \mathrm{H}^{+0.01}, \mathrm{H}^{+0.07}","\makecell{S, -0.14 \\ $\mathrm{C_3H_7}^{+1.14}$ \\ $\mathrm{H}^{+0.01}$ \\ $\mathrm{H}^{+0.07}$}","0.1"
"1","x1.276358376y0z0.2674526568","P","--","\mathrm{C_3H_9}^{+1.25}","\makecell{P, -- \\ $\mathrm{C_3H_9}^{+1.25}$}","0.1"
"2","x0.638179188y0z-0.15671301325","A","--","\mathrm{C_3H_7}^{+1.17}, \mathrm{H_2}^{+0.05}","\makecell{A, -- \\ $\mathrm{C_3H_7}^{+1.17}$ \\ $\mathrm{H_2}^{+0.05}$}","0.1"
"3","x2.1778327652y0z-0.3568189771","P","--","\mathrm{C_3H_9}^{+1.22}","\makecell{P, -- \\ $\mathrm{C_3H_9}^{+1.22}$}","0.1"
"4","x1.7270955706y0z-0.04468316015","P","--","\mathrm{C_3H_9}^{+1.25}","\makecell{P, -- \\ $\mathrm{C_3H_9}^{+1.25}$}","0.1"
"0","x0y0z-0.5808786833","S","3.09","\mathrm{C_3H_7}^{+1.12}, \mathrm{H}^{+0.10}, \mathrm{H}^{+0.07}","\makecell{S, 3.09 \\ $\mathrm{C_3H_7}^{+1.12}$ \\ $\mathrm{H}^{+0.10}$ \\ $\mathrm{H}^{+0.07}$}","0.3"
"1","x1.276358376y0z0.2674526568","S","3.72","\mathrm{C_3H_7}^{+1.23}, \mathrm{H}^{+0.11}, \mathrm{H}^{-0.05}","\makecell{S, 3.72 \\ $\mathrm{C_3H_7}^{+1.23}$ \\ $\mathrm{H}^{+0.11}$ \\ $\mathrm{H}^{-0.05}$}","0.3"
"2","x0.638179188y0z-0.15671301325","S","4.54","\mathrm{C_3H_7}^{+1.24}, \mathrm{H}^{+0.07}, \mathrm{H}^{+0.04}","\makecell{S, 4.54 \\ $\mathrm{C_3H_7}^{+1.24}$ \\ $\mathrm{H}^{+0.07}$ \\ $\mathrm{H}^{+0.04}$}","0.3"
"3","x2.1778327652y0z-0.3568189771","A","--","\mathrm{C_3H_8}^{+0.79}, \mathrm{H}^{+0.45}","\makecell{A, -- \\ $\mathrm{C_3H_8}^{+0.79}$ \\ $\mathrm{H}^{+0.45}$}","0.3"
"4","x1.7270955706y0z-0.04468316015","S","4.43","\mathrm{C_3H_7}^{+1.16}, \mathrm{H}^{+0.03}, \mathrm{H}^{+0.11}","\makecell{S, 4.43 \\ $\mathrm{C_3H_7}^{+1.16}$ \\ $\mathrm{H}^{+0.03}$ \\ $\mathrm{H}^{+0.11}$}","0.3"
"0","x0y0z-0.5808786833","S","6.29","\mathrm{C_3H_8}^{+1.01}, \mathrm{H}^{+0.35}","\makecell{S, 6.29 \\ $\mathrm{C_3H_8}^{+1.01}$ \\ $\mathrm{H}^{+0.35}$}","0.5"
"1","x1.276358376y0z0.2674526568","S","6.58","\mathrm{C_3H_8}^{+0.96}, \mathrm{H}^{+0.39}","\makecell{S, 6.58 \\ $\mathrm{C_3H_8}^{+0.96}$ \\ $\mathrm{H}^{+0.39}$}","0.5"
"2","x0.638179188y0z-0.15671301325","S","12.59","\mathrm{C_2H_5}^{+0.70}, \mathrm{CH_3}^{+0.40}, \mathrm{H}^{+0.23}","\makecell{S, 12.59 \\ $\mathrm{C_2H_5}^{+0.70}$ \\ $\mathrm{CH_3}^{+0.40}$ \\ $\mathrm{H}^{+0.23}$}","0.5"
"3","x2.1778327652y0z-0.3568189771","A","--","\mathrm{C_3H_8}^{+0.86}, \mathrm{H}^{+0.36}","\makecell{A, -- \\ $\mathrm{C_3H_8}^{+0.86}$ \\ $\mathrm{H}^{+0.36}$}","0.5"
"4","x1.7270955706y0z-0.04468316015","A","--","\mathrm{C_3H_7}^{+1.07}, \mathrm{H_2}^{+0.22}","\makecell{A, -- \\ $\mathrm{C_3H_7}^{+1.07}$ \\ $\mathrm{H_2}^{+0.22}$}","0.5"
"0","x0y0z-0.5808786833","S","11.05","\mathrm{C_3H_8}^{+1.05}, \mathrm{H}^{+0.33}","\makecell{S, 11.05 \\ $\mathrm{C_3H_8}^{+1.05}$ \\ $\mathrm{H}^{+0.33}$}","0.7"
"1","x1.276358376y0z0.2674526568","S","10.16","\mathrm{C_3H_8}^{+0.95}, \mathrm{H}^{+0.38}","\makecell{S, 10.16 \\ $\mathrm{C_3H_8}^{+0.95}$ \\ $\mathrm{H}^{+0.38}$}","0.7"
"2","x0.638179188y0z-0.15671301325","S","7.93","\mathrm{C_3H_8}^{+0.92}, \mathrm{H}^{+0.47}","\makecell{S, 7.93 \\ $\mathrm{C_3H_8}^{+0.92}$ \\ $\mathrm{H}^{+0.47}$}","0.7"
