C3H8_7_5r44, C3[0][1][2], H[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], 
Densities, 11.04343218012747, 0.2696960647980838, 0.657462074789153, 0.4154351486790702, 0.3733814479976608, 0.4382374052082046, 0.4375648560617068, 0.5733278153264585, 0.5232669222648093, 
Time[fs], 120.000000, 55.000000, 76.000000, 65.000000, 62.000000, 65.500000, 66.500000, 34.500000, 33.000000, 
Density Sum, 14.73180391525262
X Velocity[A/fs], 0.0193637, 0.0161924, 0.00732159, 0.225134, -0.243409, 0.206251, -0.193166, 0.501667, -0.524088,  
Y Velocity[A/fs],-0.00102915, 0.258857, -0.115039, 0.169928, 0.191628, -0.184475, -0.175311, -0.0338675, -0.0891736,  
Z Velocity[A/fs],0.0109005, -0.301827, -0.182304, 0.069394, 0.0571635, 0.143692, 0.171078, -0.14968, -0.111211,  
Speed[A/fs],0.0222449, 0.397956, 0.21569, 0.290476, 0.315019, 0.311798, 0.311953, 0.524615, 0.543128, 

C3H8_7_5r3, C2[0][2], CH[1][5], H[3], H[4], H[6], H[7], H[8], H[9], H[10], 
Densities, 7.437128087863759, 4.437295793680583, 0.3690191583671014, 0.3457528510163403, 0.193329201791699, 0.4626797803035612, 0.4395836423267211, 0.4142722489052178, 0.5182302954501429, 
Time[fs], 90.500000, 90.500000, 64.000000, 62.500000, 56.000000, 64.500000, 67.500000, 32.500000, 33.000000, 
Density Sum, 14.61729105970513
X Velocity[A/fs], 0.0173635, 0.00230994, -0.00958734, 0.00707946, -0.158768, 0.228588, -0.198583, 0.525684, -0.516188,  
Y Velocity[A/fs],-0.00661465, 0.00229128, 0.222332, -0.142192, 0.261022, -0.0902347, -0.102499, 0.0427004, 0.0911912,  
Z Velocity[A/fs],0.0218019, -0.0102771, -0.206213, -0.247317, 0.233408, 0.0799169, 0.0328076, -0.160736, -0.0842022,  
Speed[A/fs],0.0286455, 0.0107799, 0.303393, 0.285367, 0.384472, 0.258421, 0.225871, 0.551365, 0.530901, 

C3H8_7_5r20, C3[0][1][2], H[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], 
Densities, 11.17631933051897, 0.449774244243709, 0.4288791010596862, 0.3116568189860212, 0.3766582249385459, 0.3452127034886044, 0.5472127579534209, 0.6119355533529789, 0.5852249979903988, 
Time[fs], 86.000000, 56.000000, 58.500000, 52.500000, 61.500000, 57.500000, 79.500000, 35.000000, 34.000000, 
Density Sum, 14.83287373253233
X Velocity[A/fs], -0.00329613, 0.0044605, 0.0103266, 0.255092, -0.217374, 0.178154, -0.127322, 0.440615, -0.470651,  
Y Velocity[A/fs],-0.00307037, 0.171816, -0.245068, 0.267674, 0.176479, -0.142475, -0.0516924, -0.15923, -0.066938,  
Z Velocity[A/fs],0.00391698, -0.262989, -0.176751, 0.112199, 0.0643502, 0.248641, 0.0686708, -0.113342, -0.114365,  
Speed[A/fs],0.00596945, 0.314171, 0.302334, 0.386406, 0.287293, 0.337432, 0.153619, 0.482019, 0.48895, 

C3H8_7_5r4, C3[0][1][2], H[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], 
Densities, 11.15007493912254, 0.5117299496137646, 0.3412627656500346, 0.3796708088896225, 0.4556171095811679, 0.3091991353476854, 0.3656717411272837, 0.5042521401154099, 0.6879534667376691, 
Time[fs], 76.500000, 55.000000, 53.000000, 52.500000, 66.500000, 51.500000, 60.000000, 34.500000, 34.000000, 
Density Sum, 14.70543205618517
X Velocity[A/fs], -0.00280213, -0.00360457, 0.00103524, 0.24905, -0.153722, 0.173042, -0.202826, 0.452199, -0.44566,  
Y Velocity[A/fs],0.00208875, 0.174223, -0.228486, 0.247788, 0.174547, -0.151399, -0.198066, -0.179137, 0.081257,  
Z Velocity[A/fs],0.0115885, -0.241655, -0.266943, 0.0693647, 0.117978, 0.279346, 0.0596463, -0.129114, -0.113214,  
Speed[A/fs],0.012104, 0.297933, 0.351376, 0.3581, 0.260798, 0.361801, 0.289701, 0.503234, 0.46694, 

C3H8_7_5r31, C3[0][1][2], H[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], 
Densities, 11.22660406332372, 0.5213502793236837, 0.371204310569731, 0.3589167246704827, 0.3494643238394669, 0.3665154743649572, 0.4233711095290649, 0.5576736794235571, 0.5438317984619663, 
Time[fs], 100.000000, 55.000000, 55.500000, 54.500000, 56.500000, 62.500000, 64.000000, 34.000000, 35.500000, 
Density Sum, 14.71893176350663
X Velocity[A/fs], 0.0016275, 0.0017525, 0.00820326, 0.246354, -0.247823, 0.189858, -0.189493, 0.478495, -0.456922,  
Y Velocity[A/fs],-0.00224162, 0.156377, -0.267737, 0.235379, 0.213831, -0.186909, -0.11267, -0.102491, -0.153615,  
Z Velocity[A/fs],0.00663019, -0.273056, -0.235449, 0.115618, 0.0522388, 0.206295, 0.181936, -0.126683, -0.11799,  
Speed[A/fs],0.00718561, 0.314669, 0.356632, 0.359807, 0.331465, 0.336955, 0.285838, 0.50548, 0.496283, 

C3H8_7_5r9, C3[0][2][1], H[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], 
Densities, 11.13220151902586, 0.2238056642138055, 0.4698744442003747, 0.4591848658973454, 0.4608814829015291, 0.4562606960456952, 0.2864799793403497, 0.6159462209240646, 0.4241813334777766, 
Time[fs], 120.000000, 51.500000, 70.500000, 64.000000, 64.500000, 61.000000, 62.500000, 33.500000, 32.500000, 
Density Sum, 14.5288162060268
X Velocity[A/fs], -0.000346837, 0.017399, -0.00702646, 0.206971, -0.20792, 0.237803, -0.22265, 0.515168, -0.541023,  
