C2H2_proton_x1z1, C2H2[0][1][2][3], H[4], 
Speed[A/fs],0.00134817, 0.721372, 

C2H2_proton_x3z1, C2H[0][1][2], H[3], H[4], 
Densities, 8.740731665111817, 0.6415517211892597, 0.5484908850761607, 
Time[fs], 80.000000, 46.500000, 22.000000, 
Density Sum, 9.930774271377237
X Velocity[A/fs], 0.00325056, -0.142544, 0.128318,  
Y Velocity[A/fs],0.00737642, -0.0916561, -0.477914,  
Z Velocity[A/fs],-0.008948, 0.167369, -0.320617,  
Speed[A/fs],0.0120434, 0.238185, 0.589629, 

C2H2_proton_x1z0, C2H2[0][1][2][3], H[4], 
Densities, 9.237661967263966, 0.5934024841586522, 
Time[fs], 100.000000, 20.000000, 
Density Sum, 9.831064451422618
X Velocity[A/fs], -0.00150741, 0.0450527,  
Y Velocity[A/fs],0.0028931, -0.57306,  
Z Velocity[A/fs],0.00438507, -0.42403,  
Speed[A/fs],0.00546545, 0.714303, 

C2H2_proton_x1z2, C2H2[0][1][2][3], H[4], 
Densities, 9.307293900766185, 0.5343854840196897, 
Time[fs], 100.000000, 17.500000, 
Density Sum, 9.841679384785875
X Velocity[A/fs], -0.014503, 0.159883,  
Y Velocity[A/fs],-0.0427457, 0.619226,  
Z Velocity[A/fs],0.00269629, 0.0793824,  
Speed[A/fs],0.0452195, 0.644442, 

C2H2_proton_x2z1, C2H2[0][1][2][3], H[4], 
Densities, 9.298007203520667, 0.5181752812547207, 
Time[fs], 100.000000, 19.000000, 
Density Sum, 9.816182484775387
X Velocity[A/fs], 0.0012015, 0.121832,  
Y Velocity[A/fs],0.000899895, -0.618344,  
Z Velocity[A/fs],0.018596, -0.273201,  
Speed[A/fs],0.0186565, 0.686899, 

