r34, C4H4[0][1][2][3][5][9][6][10], H[4], H[7], H[8], H[11],
Densities, 18.08315989519154, 0.2400458963084996, 0.2424532607666652, 0.3823419465787746, 0.3657754501814354,
Time[fs], 79.000000, 56.000000, 59.000000, 56.500000, 60.000000,
Density Sum, 19.31377644902691
X Velocity[A/fs], 0.00251915, -0.309234, 0.278741, -0.255018, 0.255898,
Y Velocity[A/fs],0.00158156, 0.0111408, -0.0111572, -0.00487285, 0.00698146,
Z Velocity[A/fs],-4.56916e-06, 0.159821, 0.198802, -0.259273, -0.199507,
Speed[A/fs],0.00297447, 0.348271, 0.342554, 0.363704, 0.324554,

r49, C4H3[0][1][2][3][9][6][10], H[4], H[5], H[7], H[8], H[11],
Densities, 16.74226224003788, 0.414877853183781, 0.6966068218477104, 0.317372272257091, 0.3588073930304523, 0.602609169756515,
Time[fs], 81.000000, 55.000000, 81.000000, 51.000000, 51.000000, 48.500000,
Density Sum, 19.13253575011343
X Velocity[A/fs], -0.00114864, -0.282758, 0.0410555, 0.352046, -0.31638, 0.301342,
Y Velocity[A/fs],-0.00680898, -0.00668668, 0.00986296, 0.00995525, 0.0233614, -0.018889,
Z Velocity[A/fs],0.00492545, 0.249392, -0.0174425, 0.219489, -0.246129, -0.258375,
Speed[A/fs],0.00848184, 0.377085, 0.0456844, 0.414983, 0.401523, 0.397393,

r40, C4H4[0][1][2][3][5][9][6][10], H[4], H[7], H[8], H[11],
Densities, 17.63832315900923, 0.3949409833736673, 0.2186765477036212, 0.4219730709650806, 0.3328193942665343,
Time[fs], 67.000000, 47.500000, 48.500000, 48.000000, 45.000000,
Density Sum, 19.00673315531813
X Velocity[A/fs], -0.00774196, -0.322326, 0.326593, -0.267891, 0.341001,
Y Velocity[A/fs],-0.000372937, 0.00559688, 0.00891245, 0.0107712, -0.0244562,
Z Velocity[A/fs],-0.00451061, 0.256913, 0.294032, -0.301758, -0.286982,
Speed[A/fs],0.00896787, 0.412225, 0.439542, 0.403658, 0.446361,

r20, C4H3[0][1][2][3][9][6][10], H[4], H[5], H[7], H[8], H[11],
Densities, 17.07954461575574, 0.3911046255216299, 0.5756473950184758, 0.3164247256943248, 0.4078765774622149, 0.2786303973444454,
Time[fs], 120.000000, 57.500000, 85.500000, 51.000000, 50.500000, 68.500000,
Density Sum, 19.04922833679683
X Velocity[A/fs], -0.00436593, -0.306858, -0.00501508, 0.360998, -0.32419, 0.272977,
Y Velocity[A/fs],-0.000587887, 0.0482415, 0.185016, 0.0601637, -0.0945106, -0.0543334,
Z Velocity[A/fs],-0.00023155, 0.201521, -0.17688, 0.227355, -0.262995, -0.202228,
Speed[A/fs],0.00441142, 0.370269, 0.256013, 0.430847, 0.428016, 0.344042,

r55, C4H3[0][1][2][3][5][9][6], H[4], H[7], H[8], H[10], H[11],
Densities, 16.60140587370045, 0.3067086642726765, 0.4463016673925803, 0.460680843611854, 0.7150110627160539, 0.4985975043959051,
Time[fs], 73.500000, 52.500000, 51.500000, 52.000000, 73.500000, 48.500000,
Density Sum, 19.02870561608952
X Velocity[A/fs], 0.0069473, -0.274072, 0.328221, -0.316496, -0.0230875, 0.304447,
Y Velocity[A/fs],-0.00186674, 0.019291, 0.0362397, -0.0137593, 0.0240905, -0.0122023,
Z Velocity[A/fs],-0.00700284, 0.292273, 0.173574, -0.189846, -0.0545469, -0.266772,
Speed[A/fs],0.0100394, 0.401137, 0.373056, 0.369324, 0.0639433, 0.404974,

r18, C4H3[0][1][2][3][5][9][6], H[4], H[7], H[8], H[10], H[11],
Densities, 16.96775477414551, 0.2488569159380718, 0.3726151497313741, 0.5140529544318737, 0.6488363558601746, 0.279231846926998,
Time[fs], 82.500000, 51.000000, 58.000000, 52.000000, 82.500000, 45.000000,
Density Sum, 19.031347997034
X Velocity[A/fs], -0.0079252, -0.324644, 0.240006, -0.300466, 0.020982, 0.39993,
Y Velocity[A/fs],-0.000269105, 0.00254569, 0.0623896, -0.00449219, -0.0468215, -0.0416662,
Z Velocity[A/fs],-0.00837397, 0.260552, 0.249531, -0.205062, 0.0257, -0.179964,
Speed[A/fs],0.0115328, 0.416278, 0.351797, 0.3638, 0.0573845, 0.440531,

r28, C4H4[0][1][2][3][5][9][6][10], H[4], H[7], H[8], H[11],
Densities, 17.88600769093152, 0.4233550885667721, 0.3741790574913859, 0.1951044402922993, 0.3885467243002982,
Time[fs], 76.500000, 53.000000, 51.500000, 55.500000, 63.000000,
Density Sum, 19.26719300158227
X Velocity[A/fs], 0.0027723, -0.285317, 0.3104, -0.256129, 0.218149,
Y Velocity[A/fs],-0.00587168, 0.0289269, 0.0217331, 0.0199164, 0.00286192,
Z Velocity[A/fs],0.00166306, 0.20731, 0.213336, -0.273235, -0.21831,
Speed[A/fs],0.00670284, 0.353865, 0.37727, 0.375041, 0.308637,

r57, C4H4[0][1][2][3][5][9][6][10], H[4], H[7], H[8], H[11],
Densities, 17.85729451455428, 0.4346783921537322, 0.2036924130621352, 0.3830599948130835, 0.3570963152640494,
Time[fs], 85.000000, 53.000000, 70.500000, 61.500000, 51.000000,
Density Sum, 19.23582162984728
X Velocity[A/fs], 0.00465838, -0.316296, 0.274188, -0.227993, 0.32072,
Y Velocity[A/fs],-0.00159358, -0.0179002, 0.00917429, 0.0124375, -0.0280881,
Z Velocity[A/fs],-0.0031326, 0.183913, 0.0983767, -0.249329, -0.259582,
Speed[A/fs],0.00583551, 0.366316, 0.291447, 0.338084, 0.413562,

r5, C4H2[0][1][2][3][5][9], H[4], H[6], H[7], H[8], H[10], H[11],
