10r2            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193659       C2H6_10r3            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193660       C2H6_10r4            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193661       C2H6_10r5            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193662       C2H6_10_5r1          u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193663       C2H6_10_5r2          u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193664       C2H6_10_5r3          u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193665       C2H6_10_5r4          u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193666       C2H6_10_5r5          u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193667       C2H6_11r1            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193668       C2H6_11r2            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193669       C2H6_11r3            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193670       C2H6_11r4            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193671       C2H6_11r5            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193672       C2H6_11r6            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193673       C2H6_11r7            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193674       C2H6_11r8            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193675       C2H6_11r9            u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193676       C2H6_11r10           u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193677       C2H6_11_5r1          u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193678       C2H6_11_5r2          u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193679       C2H6_11_5r3          u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193680       C2H6_11_5r4          u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193681       C2H6_11_5r5          u.st199789               cpu                    1      1     PENDING      0:00         7-00:00:00   2024-07-03T07:37  Priority                 
193423       C2H2_14r15           u.st199789               cpu                    1      1     RUNNING      5:34:43      6-18:25:17   2024-07-01T22:33  None                     ac046
193424       C2H2_14r16           u.st199789               cpu                    1      1     RUNNING      5:34:43      6-18:25:17   2024-07-01T22:33  None                     ac046
193425       C2H2_14r17           u.st199789               cpu                    1      1     RUNNING      5:34:43      6-18:25:17   2024-07-01T22:33  None                     ac046
193426       C2H2_14r18           u.st199789               cpu                    1      1     RUNNING      5:34:43      6-18:25:17   2024-07-01T22:33  None                     ac046
193427       C2H2_14r19           u.st199789               cpu                    1      1     RUNNING      5:34:43      6-18:25:17   2024-07-01T22:33  None                     ac046
193428       C2H2_14r20           u.st199789               cpu                    1      1     RUNNING      5:34:43      6-18:25:17   2024-07-01T22:33  None                     ac046
193429       C2H2_14r21           u.st199789               cpu                    1      1     RUNNING      5:34:43      6-18:25:17   2024-07-01T22:33  None                     ac046
193430       C2H2_14r22           u.st199789               cpu                    1      1     RUNNING      5:34:43      6-18:25:17   2024-07-01T22:33  None                     ac046
193431       C2H2_14r23           u.st199789               cpu                    1      1     RUNNING      5:34:43      6-18:25:17   2024-07-01T22:33  None                     ac046
193432       C2H2_14r24           u.st199789               cpu                    1      1     RUNNING      5:34:43      6-18:25:17   2024-07-01T22:33  None                     ac046
193433       C2H2_14r25           u.st199789               cpu                    1      1     RUNNING      5:34:43      6-18:25:17   2024-07-01T22:33  None                     ac046
193402       C2H2_10r49           u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193403       C2H2_10r50           u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193409       C2H2_14r1            u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193410       C2H2_14r2            u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193411       C2H2_14r3            u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193412       C2H2_14r4            u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193413       C2H2_14r5            u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193414       C2H2_14r6            u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193415       C2H2_14r7            u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193416       C2H2_14r8            u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193417       C2H2_14r9            u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193418       C2H2_14r10           u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193419       C2H2_14r11           u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193420       C2H2_14r12           u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193421       C2H2_14r13           u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193422       C2H2_14r14           u.st199789               cpu                    1      1     RUNNING      12:07:16     6-11:52:44   2024-07-01T16:00  None                     ac048
193657       C2H6_10r1            u.st199789               cpu                    1      1     RUNNING      7:32         6-23:52:28   2024-07-02T04:00  None                     ac046
193652       C3H8_11_5r1          u.st199789               cpu                    1      1     RUNNING      16:02        6-23:43:58   2024-07-02T03:51  None                     ac046
193653       C3H8_11_5r2          u.st199789               cpu                    1      1     RUNNING      16:02        6-23:43:58   2024-07-02T03:51  None                     ac046
193654       C3H8_11_5r3          u.st199789               cpu                    1      1     RUNNING      16:02        6-23:43:58   2024-07-02T03:51  None                     ac046
193655       C3H8_11_5r4          u.st199789               cpu                    1      1     RUNNING      16:02        6-23:43:58   2024-07-02T03:51  None                     ac046
193656       C3H8_11_5r5          u.st199789               cpu                    1      1     RUNNING      16:02        6-23:43:58   2024-07-02T03:51  None                     ac046
193647       C3H8_11r1            u.st199789               cpu                    1      1     RUNNING      16:32        6-23:43:28   2024-07-02T03:51  None                     ac046
193648       C3H8_11r2            u.st199789               cpu                    1      1     RUNNING      16:32        6-23:43:28   2024-07-02T03:51  None                     ac046
193649       C3H8_11r3            u.st199789               cpu                    1      1     RUNNING      16:32        6-23:43:28   2024-07-02T03:51  None                     ac046
193650       C3H8_11r4            u.st199789               cpu                    1      1     RUNNING      16:32        6-23:43:28   2024-07-02T03:51  None                     ac046
193651       C3H8_11r5            u.st199789               cpu                    1      1     RUNNING      16:32        6-23:43:28   2024-07-02T03:51  None                     ac046
193642       C3H8_10_5r1          u.st199789               cpu                    1      1     RUNNING      17:33        6-23:42:27   2024-07-02T03:50  None                     ac046
193643       C3H8_10_5r2          u.st199789               cpu                    1      1     RUNNING      17:33        6-23:42:27   2024-07-02T03:50  None                     ac046
193644       C3H8_10_5r3          u.st199789               cpu                    1      1     RUNNING      17:33        6-23:42:27   2024-07-02T03:50  None                     ac046
193645       C3H8_10_5r4          u.st199789               cpu                    1      1     RUNNING      17:33        6-23:42:27   2024-07-02T03:50  None                     ac046
193646       C3H8_10_5r5          u.st199789               cpu                    1      1     RUNNING      17:33        6-23:42:27   2024-07-02T03:50  None                     ac046
193637       C3H8_10r1            u.st199789               cpu                    1      1     RUNNING      19:03        6-23:40:57   2024-07-02T03:48  None                     ac046
193638       C3H8_10r2            u.st199789               cpu                    1      1     RUNNING      19:03        6-23:40:57   2024-07-02T03:48  None                     ac046
193639       C3H8_10r3            u.st199789               cpu                    1      1     RUNNING      19:03        6-23:40:57   2024-07-02T03:48  None                     ac046
193640       C3H8_10r4            u.st199789               cpu                    1      1     RUNNING      19:03        6-23:40:57   2024-07-02T03:48  None                     ac046
193641       C3H8_10r5            u.st199789               cpu                    1      1     RUNNING      19:03        6-23:40:57   2024-07-02T03:48  None                     ac046
193394       C2H2_10r41           u.st199789               cpu                    1      1     RUNNING      18:02:11     6-05:57:49   2024-07-01T10:05  None                     ac014
193395       C2H2_10r42           u.st199789               cpu                    1      1     RUNNING      18:02:11     6-05:57:49   2024-07-01T10:05  None                     ac014
193396       C2H2_10r43           u.st199789               cpu                    1      1     RUNNING      18:02:11     6-05:57:49   2024-07-01T10:05  None                     ac014
