pulse9_5r23, C, H, H, H, H, 
Densities, 3.546326860127696, 0.2548693606186666, 0.6015281264089717, 0.5527063630051793, 0.3616614191397284, 
Time[fs], 118.500000, 58.000000, 88.500000, 82.000000, 62.000000, 
X Velocity[A/fs], -4.0559e-182, 0.16242, -0.0496958, 0.25861, -0.146129,  
Y Velocity[A/fs],-3.17719e-182, 0.0693484, 0.0795519, -0.307109, -0.0895817,  
Z Velocity[A/fs],3.01617e-182, -0.110488, 0.0532243, 0.349918, -0.11605,  
Speed[A/fs],0, 0.208319, 0.107847, 0.532577, 0.206993, 
pulse9_5r55, CH, H, H, H, 
Densities, 4.073417457264029, 0.4274531806419989, 0.2598310762322265, 0.5448272125284539, 
Time[fs], 120.000000, 44.000000, 57.000000, 120.000000, 
X Velocity[A/fs], 0.00388941, -2.72368e-247, -0.57314, -2.40322e-248,  
Y Velocity[A/fs],-0.00517336, -1.07841e-247, 0.633188, 1.96828e-250,  
Z Velocity[A/fs],0.00726254, 1.81893e-247, -0.00143035, -1.80069e-248,  
Speed[A/fs],0.00972808, 0, 0.854061, 0, 
pulse9_5r62, CH2, H, H, 
Densities, 4.74719727624756, 0.02633583966397571, 0.4682334024040652, 
Time[fs], 87.500000, 64.000000, 38.500000, 
X Velocity[A/fs], 0.0165757, 0.126969, -0.384445,  
Y Velocity[A/fs],0.0015888, 0.109941, 0.11155,  
Z Velocity[A/fs],-0.000806699, -0.115365, -0.0332344,  
Speed[A/fs],0.0166712, 0.203758, 0.401679, 
pulse9_5r47, C, H, H, H, H, 
Densities, 3.288220834298849, 0.8639372707247283, 0.5435098055073044, 0.3917991238235541, 0.1845055872706626, 
Time[fs], 100.000000, 100.000000, 43.500000, 74.000000, 66.000000, 
X Velocity[A/fs], -3.86225e-258, -7.54704e-16, -0.235849, 0.127356, -0.0482751,  
Y Velocity[A/fs],-2.40812e-259, -1.4056e-16, 0.138597, -0.112969, -0.129345,  
Z Velocity[A/fs],2.63571e-259, -3.78981e-17, -0.0114612, 0.348089, -0.116337,  
Speed[A/fs],0, 7.68617e-16, 0.273798, 0.387489, 0.180541, 
pulse9_5r20, C, H, H, H, H, 
Densities, 3.474122266442545, 0.5139201109220037, 0.394756073568599, 0.3839584975426016, 0.4897451889821176, 
Time[fs], 120.000000, 86.500000, 50.500000, 54.000000, 91.000000, 
X Velocity[A/fs], 0.004652, 0.0403451, -0.756686, 0.189954, -0.180713,  
Y Velocity[A/fs],0.00113744, 0.0616123, 0.562122, -0.00308579, -0.31894,  
Z Velocity[A/fs],-0.00209232, -0.0899269, 0.361531, 0.0793706, -0.00443821,  
Speed[A/fs],0.00522615, 0.116235, 1.00958, 0.205893, 0.366605, 
pulse9_5r40, C, H, H, H, H, 
Densities, 3.425319025646968, 0.5169008201278387, 0.5393246982444835, 0.4124366867676411, 0.439848625349408, 
Time[fs], 118.500000, 94.000000, 55.000000, 83.000000, 90.500000, 
X Velocity[A/fs], -2.96511e-230, 0.0763267, -0.175996, 0.345361, -0.0527041,  
Y Velocity[A/fs],1.79802e-229, 0.0793579, 0.102315, -0.184907, -0.0577816,  
Z Velocity[A/fs],2.99792e-230, -0.0370954, 0.0821939, 0.371303, -0.0849051,  
Speed[A/fs],0, 0.116187, 0.219542, 0.539751, 0.115435, 
pulse9_5r49, CH, H, H, H, 
Densities, 4.155306476376494, 0.1913119306629303, 0.4560025122949857, 0.6405487492383578, 
Time[fs], 120.000000, 69.500000, 58.500000, 120.000000, 
X Velocity[A/fs], 0.0018896, 0.0528385, -0.458748, 0.00777454,  
Y Velocity[A/fs],-0.00484165, 0.096656, 0.594887, 0.00514777,  
Z Velocity[A/fs],0.00239466, -0.139335, 0.36209, 0.0142849,  
Speed[A/fs],0.00572246, 0.177619, 0.833936, 0.0170588, 
pulse9_5r28, C, H, H, H, H, 
Densities, 3.335456743940624, 0.706559432404178, 0.5279214445396222, 0.2477729987510525, 0.4614468058738349, 
Time[fs], 84.500000, 84.500000, 46.500000, 63.500000, 84.500000, 
X Velocity[A/fs], -3.97566e-230, 0.0179707, 3.30427e-180, 0.0464266, -0.0272551,  
Y Velocity[A/fs],-2.65543e-230, -0.00522723, -2.75737e-180, 0.0187559, -0.0481387,  
Z Velocity[A/fs],3.33243e-231, -0.0301988, -6.43296e-182, 0.173476, -0.0187259,  
Speed[A/fs],0, 0.035528, 0, 0.180558, 0.0584024, 
pulse9_5r58, CH, H, H, H, 
Densities, 4.196644989785473, 0.418117149345467, 0.3211377754580226, 0.2713936485674698, 
Time[fs], 120.000000, 54.000000, 44.500000, 120.000000, 
X Velocity[A/fs], 0.000585196, 0.178286, -0.956279, 0.0191473,  
Y Velocity[A/fs],-0.0124158, 0.151492, 0.574672, 0.024082,  
Z Velocity[A/fs],-0.00243018, -0.113688, 0.194591, 0.0201324,  
Speed[A/fs],0.012665, 0.260117, 1.13251, 0.0367679, 
pulse9_5r25, CH3, H, 
Densities, 5.269331322239236, 0.2988339833047211, 
Time[fs], 120.000000, 56.000000, 
X Velocity[A/fs], -0.000551715, 0.0622709,  
Y Velocity[A/fs],0.0010197, 0.133272,  
Z Velocity[A/fs],0.0181744, -0.185698,  
Speed[A/fs],0.0182114, 0.236903, 
pulse9_5r37, CH, H, H, H, 
Densities, 4.184424998006965, 0.5896768071320129, 0.1330916491245611, 0.4132889495169658, 
Time[fs], 120.000000, 120.000000, 46.500000, 67.500000, 
X Velocity[A/fs], -0.0007364, -0.00549405, -0.893242, 0.134921,  
Y Velocity[A/fs],0.000379008, 0.0129975, 0.626048, -0.0184451,  
Z Velocity[A/fs],0.000519291, -0.0117602, 0.284427, 0.126009,  
Speed[A/fs],0.000977546, 0.0183691, 1.12726, 0.185532, 
pulse9_5r69, CH, H, H, H, 
Densities, 4.035672230634937, 0.683795652203413, 0.2812103663428182, 0.2100720027256033, 
Time[fs], 120.000000, 120.000000, 44.500000, 47.500000, 
X Velocity[A/fs], 0.0167739, 0.0158532, -0.950434, -0.0333082,  
Y Velocity[A/fs],0.000462419, 0.0150255, 0.461478, -0.156218,  
Z Velocity[A/fs],-0.000619987, -0.0048481, 0.458367, -0.218714,  
Speed[A/fs],0.0167917, 0.022374, 1.15169, 0.270831, 
pulse9_5r14, CH, H, H, H, 
Densities, 4.104152282265803, 0.3974319724048204, 0.3076538036810988, 0.3702206206508149, 
Time[fs], 88.500000, 68.000000, 41.000000, 49.000000, 
X Velocity[A/fs], 0.00213437, 0.0407858, -6.27488e+250, -1.31068e+241,  
Y Velocity[A/fs],0.000194908, 0.0347023, -2.23401e+159, -0.279204,  
Z Velocity[A/fs],0.00114419, -0.114163, -0.0181585, -0.0290971,  
Speed[A/fs],0.00242954, 0.126099, inf, inf, 
pulse9_5r32, CH, H, H, H, 
Densities, 4.027132881695214, 0.4584131186019843, 0.01616958203277165, 0.8275956924373132, 
Time[fs], 91.000000, 43.000000, 69.000000, 91.000000, 
X Velocity[A/fs], -0.00191614, -4.71594e-15, 2.92465e+174, -0.0287491,  
Y Velocity[A/fs],0.00186666, -1.81606e-15, -0.0916379, -0.00395276,  
Z Velocity[A/fs],6.0484e+88, 2.60977e-15, 0.172331, -0.0148874,  
Speed[A/fs],6.0484e+88, 5.68763e-15, inf, 0.0326155, 
pulse9_5r5, CH, H, H, H, 
Densities, 3.993103098519021, 0.4223892487683565, 0.3884235774783295, 0.405598973224472, 
Time[fs], 120.000000, 40.000000, 68.000000, 74.000000, 
X Velocity[A/fs], 0.0244759, -0.298706, 0.504878, -0.0355434,  
Y Velocity[A/fs],0.00531512, 0.0702434, -0.204811, -0.0806928,  
Z Velocity[A/fs],-0.00100109, 0.0748254, 0.326887, -0.114811,  
Speed[A/fs],0.0250663, 0.315845, 0.635378, 0.144763, 
pulse9_5r34, CH2, H, H, 
Densities, 4.689910632835882, 0.1271394774425522, 0.3309161647565954, 
Time[fs], 120.000000, 45.500000, 38.000000, 
X Velocity[A/fs], 0.208629, 0.220598, -1.07544,  
Y Velocity[A/fs],-0.0989245, 0.143577, 0.945009,  
Z Velocity[A/fs],-0.0942347, -0.132721, 0.491463,  
Speed[A/fs],0.249383, 0.294776, 1.51365, 
pulse9_5r42, CH, H, H, H, 
Densities, 4.165705818914764, 0.616948482948004, 0.4614157329309694, 0.0689319484618966, 
Time[fs], 120.000000, 120.000000, 49.500000, 58.500000, 
X Velocity[A/fs], 0.00926909, 0.0137738, -0.794285, -0.030631,  
Y Velocity[A/fs],0.00133321, 0.0178745, 0.421927, -0.121159,  
Z Velocity[A/fs],-0.0022556, -0.00271463, 0.461083, -0.176833,  
Speed[A/fs],0.0096323, 0.0227285, 1.0107, 0.216536, 
pulse9_5r33, CH, H, H, H, 
Densities, 4.171810536291804, 0.358478791292786, 0.3391453958457321, 0.3430009368961242, 
Time[fs], 89.000000, 64.500000, 41.000000, 64.500000, 
X Velocity[A/fs], 0.0138318, -3.83307e+226, 2.92465e+174, 0.111159,  
Y Velocity[A/fs],-0.000323018, 0.123595, 0.0809389, -0.0626748,  
Z Velocity[A/fs],-0.0041116, 5.57384e+89, 0.130592, 0.172645,  
Speed[A/fs],0.0144336, inf, inf, 0.214687, 
