C4H10_7_5y_r44, C3H6[0][1][4][5][6][2][7][8][10], CH3[3][11][12][13], H[9], 
Densities, 15.65557350604487, 5.646172843495409, 0.07701090323981824, 
Time[fs], 120.000000, 120.000000, 61.000000, 
Density Sum, 21.37875725278009
X Velocity[A/fs], -0.00689728, 0.0226942, 0.258265,  
Y Velocity[A/fs],-0.0113248, -0.0050047, 0.34478,  
Z Velocity[A/fs],-0.00450804, -0.020722, 0.0367448,  
Speed[A/fs],0.0140052, 0.0311364, 0.432347, 

C4H10_7_5y_r43, C3H6[0][1][4][5][6][2][7][9][10], CH3[3][11][12][13], H[8], 
Densities, 15.49507789851655, 5.836982823321207, 0.08673432621286045, 
Time[fs], 120.000000, 120.000000, 52.500000, 
Density Sum, 21.41879504805062
X Velocity[A/fs], -0.0280458, 0.062792, -0.237337,  
Y Velocity[A/fs],-0.000526014, -0.00517902, 0.383497,  
Z Velocity[A/fs],0.00524168, 0.00877941, -0.0182032,  
Speed[A/fs],0.0285363, 0.063614, 0.451365, 

C4H10_7_5y_r27, C3H6[0][1][2][4][5][6][7][9][10], CH3[3][11][12][13], H[8], 
Densities, 15.59788197240649, 5.80775117836121, 0.02455886467754092, 
Time[fs], 120.000000, 120.000000, 60.000000, 
Density Sum, 21.43019201544524
X Velocity[A/fs], 0.00246806, 0.0569377, -0.223842,  
Y Velocity[A/fs],0.00075566, -0.00263075, 0.366745,  
Z Velocity[A/fs],0.00547358, -0.00921784, -0.0337927,  
Speed[A/fs],0.00605165, 0.057739, 0.430986, 

C4H10_7_5y_r46, C3H5[0][1][4][5][6][2][7][10], CH3[3][11][12][13], H[8], H[9], 
Densities, 15.01371503989488, 6.010593809847832, 0.1462502331216568, 0.1828294328503182, 
Time[fs], 120.000000, 120.000000, 62.000000, 65.500000, 
Density Sum, 21.35338851571469
X Velocity[A/fs], 0.00256878, 0.0532644, -0.28998, 0.258422,  
Y Velocity[A/fs],-0.0102273, 0.00283076, 0.284731, 0.286476,  
Z Velocity[A/fs],-0.0019143, -0.00491555, -0.0521719, 0.0276083,  
Speed[A/fs],0.0107174, 0.0535656, 0.409734, 0.386798, 

C4H10_7_5y_r2, C2H4[0][1][4][5][6][7], C2H5[2][3][9][10][11][12][13], H[8], 
Densities, 10.13769304465691, 11.21401388448644, 0.05403903401875483, 
Time[fs], 120.000000, 120.000000, 52.500000, 
Density Sum, 21.4057459631621
X Velocity[A/fs], -0.00226223, 0.0116548, -0.255616,  
Y Velocity[A/fs],-0.0130414, -0.00386092, 0.376385,  
Z Velocity[A/fs],-0.0173648, -0.00339779, -0.0393924,  
Speed[A/fs],0.0218342, 0.0127392, 0.456681, 

