C2H2_14r176, C[0], C[1], H[2], H[3], 
Y Velocity[A/fs],-0.00525465, -0.00824976, 0.0864107, -0.115276,  
Z Velocity[A/fs],-0.00297868, -0.00454159, -0.0453886, -0.0538578,  
Speed[A/fs],0.157999, 0.157845, 0.801275, 0.809314, 

C2H2_14r123, C[0], C[1], H[2], H[3], 
Densities, 2.16540090967047, 1.668842675876631, 0.0007076340157930876, 9.555490404326733e-05, 
Time[fs], 65.500000, 65.500000, 26.500000, 26.500000, 
Density Sum, 3.835046774466937
X Velocity[A/fs], -0.150528, 0.149819, -0.779756, 0.803023,  
Y Velocity[A/fs],0.00523667, -0.00591697, -0.0692528, -0.0171944,  
Z Velocity[A/fs],0.00509867, -0.0049072, 0.0512074, -0.0440888,  
Speed[A/fs],0.150706, 0.150016, 0.784498, 0.804416, 

C2H2_14r110, C[0], C[1], H[2], H[3], 
Densities, 2.277367967528634, 1.418819827534289, 0.0008061024805032833, 5.004046406687647e-05, 
Time[fs], 64.500000, 63.500000, 26.500000, 26.500000, 
Density Sum, 3.697043938007495
X Velocity[A/fs], -0.153425, 0.160229, -0.788817, 0.813702,  
Y Velocity[A/fs],0.00426932, -0.00139062, -0.0813988, 0.0760711,  
Z Velocity[A/fs],0.00730092, -0.00570659, -0.0390145, -0.0365055,  
Speed[A/fs],0.153658, 0.160336, 0.793965, 0.818065, 

C2H2_14r21, C[0], C[1], H[2], H[3], 
Densities, 1.919624491106062, 1.741730602449259, 0.0006138624906526354, 7.067954463567752e-05, 
Time[fs], 62.000000, 64.000000, 26.500000, 26.500000, 
Density Sum, 3.66203963559061
X Velocity[A/fs], -0.163216, 0.158684, -0.795491, 0.80453,  
Y Velocity[A/fs],-0.00500962, -0.0035827, 0.0622268, 0.0535108,  
Z Velocity[A/fs],0.00778665, 0.0146586, 0.105967, -0.0719115,  
Speed[A/fs],0.163478, 0.1594, 0.804927, 0.809508, 

C2H2_14r111, C[0], C[1], H[2], H[3], 
Densities, 1.883721894682024, 1.807058270753513, 0.0008632197184062163, 5.390483816934805e-05, 
Time[fs], 63.500000, 63.500000, 26.500000, 26.500000, 
Density Sum, 3.691697289992112
X Velocity[A/fs], -0.160499, 0.158683, -0.792657, 0.792787,  
Y Velocity[A/fs],-0.00200279, -0.00224258, 0.0613142, 0.0457194,  
Z Velocity[A/fs],0.00219143, -0.000407867, 0.0949955, -0.100235,  
Speed[A/fs],0.160526, 0.1587, 0.80068, 0.800406, 

C2H2_14r64, C[0], C[1], H[2], H[3], 
Densities, 2.16164771151539, 1.444050111486927, 0.0007655451245769183, 6.312285859821802e-05, 
Time[fs], 61.500000, 61.500000, 26.500000, 26.500000, 
Density Sum, 3.606526490985492
X Velocity[A/fs], -0.163461, 0.167401, -0.792844, 0.813057,  
Y Velocity[A/fs],0.00027836, 0.0044813, -0.101595, 0.0783343,  
Z Velocity[A/fs],0.00153226, 0.00707847, 0.105129, -0.0978842,  
Speed[A/fs],0.163469, 0.16761, 0.806211, 0.822666, 

C2H2_14r119, C[0], C[1], H[2], H[3], 
Densities, 1.933146882320884, 1.719154605777621, 0.0006163108421442158, 5.752077253377951e-05, 
Time[fs], 61.500000, 66.000000, 26.500000, 26.500000, 
Density Sum, 3.652975319713183
X Velocity[A/fs], -0.16529, 0.151111, -0.801741, 0.801386,  
Y Velocity[A/fs],0.00351644, -0.00810366, 0.00183273, 0.058631,  
Z Velocity[A/fs],0.00172638, -0.000200292, 0.108592, -0.0571594,  
Speed[A/fs],0.165336, 0.151328, 0.809064, 0.805558, 

C2H2_14r35, C[0], C[1], H[2], H[3], 
Densities, 1.881403946683252, 1.897319759948665, 0.0004933114104305302, 0.0001012524596742475, 
Time[fs], 65.500000, 66.500000, 26.500000, 26.500000, 
Density Sum, 3.779318270502022
X Velocity[A/fs], -0.152664, 0.149364, -0.78513, 0.795636,  
Y Velocity[A/fs],-0.0036406, -0.00412882, -0.0470386, -0.0380017,  
Z Velocity[A/fs],0.000961055, 0.00137549, 0.0908431, -0.0601752,  
Speed[A/fs],0.152711, 0.149427, 0.791767, 0.798812, 

C2H2_14r56, C[0], C[1], H[2], H[3], 
Densities, 1.643965190687375, 2.053501164760148, 0.0009341812864182725, 4.015197400265943e-05, 
Time[fs], 64.500000, 65.000000, 26.500000, 26.500000, 
Density Sum, 3.698440688707943
X Velocity[A/fs], -0.155294, 0.153128, -0.801932, 0.79802,  
Y Velocity[A/fs],-0.000761962, -0.000954842, 0.017557, -0.0484471,  
Z Velocity[A/fs],0.00539802, 0.00120141, 0.0639681, 0.00634829,  
Speed[A/fs],0.15539, 0.153136, 0.80467, 0.799515, 

C2H2_14r77, C[0], C[1], H[2], H[3], 
Densities, 1.595005518938193, 2.023497930168155, 0.0008267289661277153, 4.521507698127215e-05, 
Time[fs], 63.000000, 61.000000, 26.500000, 26.500000, 
Density Sum, 3.619375393149458
X Velocity[A/fs], -0.161819, 0.166921, -0.802604, 0.800563,  
Y Velocity[A/fs],0.000463126, -0.0117465, 0.0790135, -0.110077,  
