r5, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 19.68139724749823, 0.7069712008714777, 
Time[fs], 120.000000, 120.000000, 
Density Sum, 20.38836844836971
X Velocity[A/fs], 0.00876541, 0.0660001,  
Y Velocity[A/fs],0.00196343, 0.0106687,  
Z Velocity[A/fs],-0.000673351, -0.0451455,  
Speed[A/fs],0.00900782, 0.0806718, 

r4, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.4603351478291, 
Time[fs], 120.000000, 
Density Sum, 20.4603351478291
X Velocity[A/fs], -0.0102418,  
Y Velocity[A/fs],0.000980285,  
Z Velocity[A/fs],0.00789562,  
Speed[A/fs],0.0129691, 

r2, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.51076560364035, 
Time[fs], 120.000000, 
Density Sum, 20.51076560364035
X Velocity[A/fs], 0.00173287,  
Y Velocity[A/fs],0.0069587,  
Z Velocity[A/fs],0.00284839,  
Speed[A/fs],0.00771619, 

r30, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.62142092665312, 
Time[fs], 120.000000, 
Density Sum, 20.62142092665312
X Velocity[A/fs], -0.0110642,  
Y Velocity[A/fs],-0.0125156,  
Z Velocity[A/fs],-0.000240932,  
Speed[A/fs],0.0167067, 

r36, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.52867347914149, 
Time[fs], 120.000000, 
Density Sum, 20.52867347914149
X Velocity[A/fs], 0.00466708,  
Y Velocity[A/fs],-0.00609897,  
Z Velocity[A/fs],0.00147732,  
Speed[A/fs],0.00782058, 

r13, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.5664339253263, 
Time[fs], 120.000000, 
Density Sum, 20.5664339253263
X Velocity[A/fs], -0.00387887,  
Y Velocity[A/fs],0.0130526,  
Z Velocity[A/fs],-0.00776629,  
Speed[A/fs],0.0156758, 

r1, C4H7[0][1][2][3][4][8][5][9][6][10][7], H[11], 
Densities, 19.71124796177482, 0.6912195738223268, 
Time[fs], 120.000000, 120.000000, 
Density Sum, 20.40246753559715
X Velocity[A/fs], 0.00182286, 0.00501996,  
Y Velocity[A/fs],-0.00970944, -0.0329946,  
Z Velocity[A/fs],0.00432933, 0.033928,  
Speed[A/fs],0.0107861, 0.0475915, 

r16, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.52211711419943, 
Time[fs], 120.000000, 
Density Sum, 20.52211711419943
X Velocity[A/fs], 0.00870252,  
Y Velocity[A/fs],0.000452891,  
Z Velocity[A/fs],-0.0011049,  
Speed[A/fs],0.00878407, 

r39, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.48160522750462, 
Time[fs], 120.000000, 
Density Sum, 20.48160522750462
X Velocity[A/fs], -0.00424333,  
Y Velocity[A/fs],-0.00358034,  
Z Velocity[A/fs],0.00421636,  
Speed[A/fs],0.00697154, 

r31, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.38065289731307, 
Time[fs], 120.000000, 
Density Sum, 20.38065289731307
X Velocity[A/fs], -0.00396695,  
Y Velocity[A/fs],-0.00263093,  
Z Velocity[A/fs],0.0039212,  
Speed[A/fs],0.00616719, 

r22, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.60423070559895, 
Time[fs], 120.000000, 
Density Sum, 20.60423070559895
X Velocity[A/fs], -0.0108076,  
Y Velocity[A/fs],-0.00709415,  
Z Velocity[A/fs],0.0021114,  
Speed[A/fs],0.0130992, 

r33, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.43085979087869, 
Time[fs], 120.000000, 
Density Sum, 20.43085979087869
X Velocity[A/fs], -0.00499766,  
Y Velocity[A/fs],-0.0116086,  
Z Velocity[A/fs],0.000232622,  
Speed[A/fs],0.0126408, 

r26, C4H7[0][1][2][3][4][8][9][6][10][7][11], H[5], 
Densities, 20.21256113365979, 0.06502498498877041, 
