C2H6_8_5r42, C2H3[0][1][4][6][3], H[2], H[5], H[7], 
Densities, 9.419633389716532, 0.7953474420846049, 0.04557007131164034, 0.3847018297121786, 
Time[fs], 111.000000, 111.000000, 72.500000, 102.000000, 
Density Sum, 10.64525273282496
X Velocity[A/fs], 0.00410895, 0.00790338, -0.232149, 0.15673,  
Y Velocity[A/fs],0.000627688, -0.00367864, -0.172661, -0.182496,  
Z Velocity[A/fs],0.00119665, 0.0205041, 0.212835, -0.00035884,  
Speed[A/fs],0.00432544, 0.0222804, 0.359171, 0.24056, 

C2H6_8_5r28, C2H3[0][1][4][6][7], H[2], H[3], H[5], 
Densities, 9.454837077301939, 0.4931426222144896, 0.5327589650100668, 0.06272116229743295, 
Time[fs], 101.500000, 101.500000, 101.500000, 62.500000, 
Density Sum, 10.54345982682393
X Velocity[A/fs], 0.0103797, 0.104342, 0.0325305, -0.230194,  
Y Velocity[A/fs],-0.00161894, 0.107295, 0.105222, -0.186407,  
Z Velocity[A/fs],0.0025426, -0.111309, 0.101649, 0.201965,  
Speed[A/fs],0.0108085, 0.186518, 0.149875, 0.358506, 

C2H6_8_5r3, CH[0][6], CH[1][7], H[2], H[3], H[4], H[5], 
Densities, 4.296265516199532, 4.02979565050887, 0.5264468000511423, 0.8431607861916453, 0.314636127399797, 0.3620186637363751, 
Time[fs], 90.000000, 90.000000, 57.000000, 90.000000, 67.500000, 53.000000, 
Density Sum, 10.37232354408736
X Velocity[A/fs], -0.0320054, 0.022032, 0.217325, 0.0295329, -0.175565, -0.243555,  
Y Velocity[A/fs],-0.00108983, -0.00197744, 0.1291, 0.00080002, 0.220069, -0.08043,  
Z Velocity[A/fs],0.0105343, -0.00212891, -0.198436, -0.00210652, -0.0287138, 0.242459,  
Speed[A/fs],0.0337121, 0.0222228, 0.321363, 0.0296188, 0.28298, 0.352951, 

C2H6_8_5r40, CH[0][4], CH3[1][2][3][7], H[5], H[6], 
Densities, 4.158621063379282, 5.614551049624475, 0.05772236567544035, 0.7527279381940257, 
Time[fs], 96.000000, 96.000000, 69.500000, 96.000000, 
Density Sum, 10.58362241687322
X Velocity[A/fs], 0.00777659, 0.0385464, -0.20978, 0.00851338,  
Y Velocity[A/fs],0.0126401, -0.00143048, -0.00752557, 0.0418757,  
Z Velocity[A/fs],-0.0171759, -0.00574426, 0.262059, 0.0218673,  
Speed[A/fs],0.0226993, 0.0389983, 0.335767, 0.0480024, 

C2H6_8_5r9, C2H2[0][1][5][2], H[3], H[4], H[6], H[7], 
Densities, 8.618765357125325, 0.4405563281217823, 0.4453445936990961, 0.2465998907417935, 0.7937658750587143, 
Time[fs], 120.000000, 55.000000, 70.000000, 60.000000, 120.000000, 
Density Sum, 10.54503204474671
X Velocity[A/fs], 0.0159708, 0.255639, -0.158283, -0.220853, 0.0125301,  
Y Velocity[A/fs],-0.00434542, 0.0906622, 0.220175, -0.165042, -0.0284152,  
Z Velocity[A/fs],-0.00364798, 0.196444, -0.0189326, -0.203443, -0.00126495,  
Speed[A/fs],0.0169486, 0.334905, 0.271825, 0.342642, 0.031081, 

C2H6_8_5r36, CH3[0][4][5][6], CH2[1][3][7], H[2], 
Densities, 5.676265361068332, 4.71647861253509, 0.1451838072290574, 
Time[fs], 118.500000, 118.500000, 64.000000, 
Density Sum, 10.53792778083248
X Velocity[A/fs], -0.0558898, 0.00772044, 0.248813,  
Y Velocity[A/fs],-0.0117693, -0.0186043, 0.163209,  
Z Velocity[A/fs],-0.00952727, 0.00262954, -0.199888,  
Speed[A/fs],0.0579048, 0.0203136, 0.358469, 

C2H6_8_5r16, C2H3[0][1][5][2][7], H[3], H[4], H[6], 
Densities, 9.392140776215717, 0.1025012491554777, 0.8458013625468559, 0.217837486530977, 
Time[fs], 101.000000, 63.500000, 101.000000, 84.000000, 
Density Sum, 10.55828087444903
X Velocity[A/fs], 0.00646718, 0.243621, -0.0064516, -0.185817,  
Y Velocity[A/fs],0.00107651, 0.0533464, -0.0376756, -0.0628276,  
Z Velocity[A/fs],0.0134749, 0.23103, -0.00437506, -0.161423,  
Speed[A/fs],0.0149852, 0.339959, 0.0384736, 0.254032, 

C2H6_8_5r6, C2H[0][1][4], H[2], H[3], H[5], H[6], H[7], 
Densities, 8.289481451345779, 0.2574889056644454, 0.4578106845397747, 0.4650299398450257, 0.2826456345388662, 0.6724407026943501, 
Time[fs], 120.000000, 69.000000, 90.500000, 99.500000, 87.500000, 114.500000, 
Density Sum, 10.42489731862824
X Velocity[A/fs], 0.016123, 0.19926, 0.133613, -0.126198, -0.165001, 0.0823858,  
Y Velocity[A/fs],0.00127263, 0.128025, 0.0794504, -0.0585539, -0.0758229, -0.0943893,  
Z Velocity[A/fs],-9.90189e-05, -0.210089, 0.152494, 0.150186, -0.183982, -0.0117301,  
Speed[A/fs],0.0161734, 0.316595, 0.217759, 0.20472, 0.258503, 0.125835, 

