C4H10_14r3, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
X Velocity[A/fs], -0.134361, -0.090801, 0.0866431, 0.143448, -0.296867, -0.443888, -0.916714, -0.0295565, -0.586677, 0.539181, 0.0373875, 0.11189, 0.580284, 0.891055,  
Y Velocity[A/fs],-0.118772, 0.125336, 0.116963, -0.125054, -0.752, -0.277033, 0.0128298, 0.332173, 0.724832, 0.775308, 0.268643, -0.905278, -0.185889, -0.0881923,  
Z Velocity[A/fs],0.013004, -0.113018, 0.108714, -0.0103965, -0.479083, 0.781335, -0.245211, -0.897315, 0.21583, -0.106294, 0.919409, 0.268979, -0.704125, 0.280363,  
Speed[A/fs],0.179802, 0.191643, 0.181676, 0.190588, 0.939763, 0.940356, 0.94903, 0.957281, 0.957159, 0.950325, 0.958582, 0.950998, 0.931169, 0.938275, 

C4H10_14r1, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.989390141542285, 2.199622255490282, 2.611887232077296, 1.941643197431403, 0.0004732503148753514, 0.001965946811933885, 0.009232050982310327, 0.0002974400091706934, 5.020103221009127e-05, 0.000381580892380753, 0.001051822716628186, 0.001498977021536496, 0.001242105442630637, 9.264505827849866e-05, 
Time[fs], 34.000000, 34.000000, 34.000000, 34.000000, 28.000000, 30.000000, 27.000000, 28.000000, 28.500000, 29.000000, 28.000000, 28.500000, 28.500000, 26.500000, 
Density Sum, 8.758828846823222
X Velocity[A/fs], -0.135404, -0.0865193, 0.0930274, 0.138839, -0.223188, -0.554521, -0.908016, -0.109437, -0.536975, 0.568712, 0.0950122, 0.266434, 0.431335, 0.941636,  
Y Velocity[A/fs],-0.121525, 0.128332, 0.123418, -0.11376, -0.871353, -0.140582, -0.078181, 0.183542, 0.773926, 0.758867, 0.185068, -0.830455, -0.217254, -0.000776206,  
Z Velocity[A/fs],0.00464083, -0.0996589, 0.119723, -0.052561, -0.28738, 0.726373, -0.249224, -0.921128, 0.0971822, -0.0744514, 0.921427, 0.352718, -0.81257, 0.120427,  
Speed[A/fs],0.182001, 0.184083, 0.195498, 0.18703, 0.944276, 0.924594, 0.944837, 0.94559, 0.946968, 0.951239, 0.944619, 0.940772, 0.945261, 0.949305, 

C4H10_14r7, C[0], C[1], C[2], C[3], H[4], H[5], H[6], H[7], H[8], H[9], H[10], H[11], H[12], H[13], 
Densities, 1.836518565399672, 2.224717893279294, 2.703531701926681, 1.87045918260018, 0.0008260139773972503, 0.003332870197463434, 0.05104884060899341, 0.001581858736561102, 0.003960074917452218, 0.000769206004080582, 0.002072137398066693, 0.001663812022447427, 0.0003097451902412367, 0.0002692428796212192, 
Time[fs], 34.500000, 34.500000, 34.500000, 34.500000, 28.500000, 29.000000, 26.500000, 27.500000, 29.000000, 29.000000, 28.000000, 29.000000, 29.500000, 26.500000, 
Density Sum, 8.701061145138153
X Velocity[A/fs], -0.128362, -0.0981094, 0.0894985, 0.145401, -0.241143, -0.512704, -0.920342, -0.097604, -0.560502, 0.568, 0.110754, 0.253991, 0.433645, 0.921994,  
