C4H10_7_5_low_r15, C4H5[0][1][4][5][2][7][3][11][12], H[6], H[8], H[9], H[10], H[13], 
Speed[A/fs],0.0117665, 0.346615, 0.0587236, 0.210406, 0.198119, 0.0458635, 0.349242, 

C4H10_7_5_low_r13, C4H6[0][1][4][5][2][7][3][10][11][12], H[6], H[8], H[9], H[13], 
Densities, 18.79510104431092, 0.4902041818394873, 0.3841875751431376, 0.4350762658286167, 0.4260319541810809, 
Time[fs], 50.000000, 43.500000, 50.000000, 50.000000, 43.500000, 
Density Sum, 20.53060102130324
X Velocity[A/fs], -0.00109662, -0.342798, -0.193777, 0.175047, 0.357484,  
Y Velocity[A/fs],-0.00830366, -0.0674472, 0.235052, 0.202862, -0.0771243,  
Z Velocity[A/fs],-0.00126608, -0.11582, 0.0136438, 0.00750954, 0.119173,  
Speed[A/fs],0.00847091, 0.368068, 0.304935, 0.26805, 0.384637, 

C4H10_7_5_low_r1, C4H4[0][1][4][5][2][3][11][12], H[6], H[7], H[8], H[9], H[10], H[13], 
Densities, 17.36710043431587, 0.5320308256142133, 0.7700351695292118, 0.5047397277728167, 0.4584825994331587, 0.4600096204008733, 0.3985790437471825, 
Time[fs], 46.000000, 44.000000, 46.000000, 46.000000, 46.000000, 46.000000, 42.500000, 
Density Sum, 20.49097742081333
X Velocity[A/fs], 0.00019847, -0.323299, -0.0247461, -0.174299, 0.165192, 0.0284154, 0.360451,  
Y Velocity[A/fs],-0.0116276, -0.0593479, -0.0138694, 0.203689, 0.20187, 0.0363317, -0.0658131,  
Z Velocity[A/fs],0.00048766, -0.108484, 0.072655, 0.00491432, -0.00464902, 0.0202193, 0.104902,  
Speed[A/fs],0.0116396, 0.34614, 0.0779967, 0.26813, 0.260885, 0.0503612, 0.38113, 

C4H10_7_5_low_r5, C4H4[0][1][4][5][2][3][11][12], H[6], H[7], H[8], H[9], H[10], H[13], 
Densities, 17.72000876260233, 0.4964780182669403, 0.6997104522775152, 0.2949963544715784, 0.2849171574457258, 0.6094815178374636, 0.4479149681160777, 
Time[fs], 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 
Density Sum, 20.55350723101763
X Velocity[A/fs], 0.00371233, -0.303772, -0.029431, -0.138983, 0.123574, 0.0326049, 0.30453,  
Y Velocity[A/fs],-0.0106074, -0.0570547, 0.0126054, 0.16213, 0.143456, 0.0168363, -0.0556148,  
Z Velocity[A/fs],-0.000739559, -0.0984993, 0.0366389, -0.00215266, 0.00708252, -0.0182861, 0.0838239,  
Speed[A/fs],0.0112626, 0.324399, 0.0486569, 0.213558, 0.189474, 0.040999, 0.320715, 

C4H10_7_5_low_r9, C4H4[0][1][4][5][2][3][11][12], H[6], H[7], H[8], H[9], H[10], H[13], 
Densities, 17.59918822464881, 0.3720754104999212, 0.7278879747298985, 0.3924992787141419, 0.3784990549695877, 0.7054375315466589, 0.4071824680542078, 
Time[fs], 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 39.000000, 
Density Sum, 20.58276994316322
X Velocity[A/fs], 0.000829763, -0.294445, -0.0282751, -0.135104, 0.102529, 0.0280562, 0.325909,  
Y Velocity[A/fs],-0.00899865, -0.0616944, 0.0115725, 0.16597, 0.12471, 0.0178384, -0.0560319,  
Z Velocity[A/fs],0.000285592, -0.110142, 0.0371997, 0.0011855, 0.013717, -0.0324168, 0.0900195,  
Speed[A/fs],0.00904134, 0.320368, 0.0481376, 0.214011, 0.162027, 0.046435, 0.342724, 

C4H10_7_5_low_r4, C4H4[0][1][4][5][2][3][11][12], H[6], H[7], H[8], H[9], H[10], H[13], 
Densities, 17.44344110232255, 0.5268671534361009, 0.6629008758815864, 0.5180798064899017, 0.404170880471413, 0.6572634717603438, 0.2897275194711843, 
Time[fs], 45.500000, 43.500000, 45.500000, 45.500000, 45.500000, 45.500000, 42.000000, 
Density Sum, 20.50245080983307
X Velocity[A/fs], 0.000687039, -0.326949, -0.0310285, -0.167787, 0.158237, 0.0222568, 0.380122,  
Y Velocity[A/fs],-0.010985, -0.0628844, 0.0132751, 0.191961, 0.196333, 0.0096192, -0.0651542,  
Z Velocity[A/fs],1.6358e-05, -0.10871, 0.0298342, 0.000230233, -0.00156286, -0.0376518, 0.101523,  
