C4H10_low_temp_r7, C2H3[0][1][4][5][7], C2H[2][3][11], H[6], H[8], H[9], H[10], H[12], H[13], 
Densities, 9.513835360085299, 7.972838265984126, 0.526163934914237, 0.4385393624203301, 0.2263306385384524, 0.4934656890691587, 0.7397434616404961, 0.4545711846825652, 
Time[fs], 120.000000, 120.000000, 43.500000, 57.000000, 58.000000, 109.000000, 120.000000, 43.500000, 
Density Sum, 20.36548789733466
X Velocity[A/fs], 0.00454467, -0.00726624, -0.42493, -0.258323, 0.270881, 0.0478679, 0.0138241, 0.448233,  
Y Velocity[A/fs],-0.00912432, -0.028953, -0.102797, 0.312628, 0.339689, 0.136056, -0.0445304, -0.100621,  
Z Velocity[A/fs],3.81756e-05, 0.00337405, -0.140822, -0.00435463, -0.0286712, 0.174588, 0.0315203, 0.139453,  
Speed[A/fs],0.0101936, 0.030041, 0.459307, 0.405569, 0.435417, 0.226458, 0.0562814, 0.480088, 

C4H10_low_temp_r3, C2H3[0][1][4][5][7], C2H3[2][3][10][11][12], H[6], H[8], H[9], H[13], 
Densities, 9.46470695583367, 9.422643116927766, 0.520122420061907, 0.3253321705675135, 0.2385167650107972, 0.4036558518672088, 
Time[fs], 120.000000, 120.000000, 42.500000, 59.000000, 59.500000, 43.500000, 
Density Sum, 20.37497728026886
X Velocity[A/fs], -0.0178901, 0.0285705, -0.440464, -0.247143, 0.263707, 0.445464,  
Y Velocity[A/fs],0.000543313, -0.00537854, -0.0896951, 0.317668, 0.325539, -0.108038,  
Z Velocity[A/fs],0.00800939, -0.00679834, -0.131946, -0.00240371, -0.00126533, 0.153086,  
Speed[A/fs],0.0196087, 0.0298567, 0.468469, 0.40249, 0.41895, 0.483266, 

C4H10_low_temp_r2, C2H2[0][1][4][5], C2H2[2][3][10][12], H[6], H[7], H[8], H[9], H[11], H[13], 
Densities, 8.737656755598186, 8.771779007468366, 0.5577453608398911, 0.708863984981484, 0.4031317092190611, 0.2338060589583804, 0.6017300575982617, 0.3107748849371096, 
Time[fs], 120.000000, 120.000000, 43.500000, 120.000000, 57.000000, 59.500000, 120.000000, 42.000000, 
Density Sum, 20.32548781960074
X Velocity[A/fs], -0.00921455, 0.010394, -0.426588, -0.0458755, -0.258657, 0.251709, 0.058005, 0.471005,  
Y Velocity[A/fs],0.0075558, -0.0121166, -0.0936467, -0.0085595, 0.314123, 0.322809, -0.0543394, -0.103133,  
Z Velocity[A/fs],-0.000777566, -0.00155867, -0.138808, -0.037468, 0.00775051, -0.0108969, -0.0381164, 0.149161,  
Speed[A/fs],0.0119416, 0.0160399, 0.458274, 0.0598471, 0.406985, 0.409489, 0.0881488, 0.504709, 

C4H10_low_temp_r1, C2H2[0][1][4][7], C2H2[2][3][11][12], H[5], H[6], H[8], H[9], H[10], H[13], 
Densities, 8.627529101614195, 8.826117401814763, 0.7275901275592106, 0.5320308256142133, 0.5002375921473423, 0.4532280677584559, 0.307548824748071, 0.3985790437471825, 
Time[fs], 109.500000, 109.500000, 109.500000, 44.000000, 57.000000, 57.500000, 84.500000, 42.500000, 
Density Sum, 20.37286098500343
X Velocity[A/fs], 0.00643445, 0.0104107, 0.0155642, -0.421465, -0.254229, 0.250956, 0.0597857, 0.461938,  
Y Velocity[A/fs],0.0111519, -0.0365744, -0.00487276, -0.0931832, 0.302717, 0.316377, 0.176108, -0.100154,  
Z Velocity[A/fs],0.00286336, 0.000828146, -0.0597077, -0.144411, 0.00761792, -0.029035, 0.241229, 0.13218,  
Speed[A/fs],0.0131896, 0.0380362, 0.061895, 0.45516, 0.395384, 0.404866, 0.304598, 0.490805, 

C4H10_low_temp_r5, C2H3[0][1][4][5][7], C2H2[2][3][10][11], H[6], H[8], H[9], H[12], H[13], 
Densities, 9.505923192127288, 8.697952917877959, 0.4972294668727992, 0.2270579155943103, 0.2089775147392277, 0.8233974090278069, 0.4463889835575092, 
Time[fs], 120.000000, 120.000000, 43.500000, 56.500000, 58.500000, 120.000000, 44.000000, 
Density Sum, 20.4069273997969
X Velocity[A/fs], -0.0138666, 0.0149626, -0.424794, -0.270561, 0.262086, 0.0446167, 0.438274,  
Y Velocity[A/fs],-0.0101543, -0.02158, -0.103308, 0.329754, 0.327913, -0.0673081, -0.105154,  
Z Velocity[A/fs],-0.0109512, 0.00994481, -0.139824, 0.0120026, -0.00713956, 0.0503713, 0.121781,  
Speed[A/fs],0.0203794, 0.0280798, 0.458991, 0.426714, 0.419842, 0.0951751, 0.466875, 

C4H10_low_temp_r9, C2H2[0][1][4][5], C2H3[2][3][10][11][12], H[6], H[7], H[8], H[9], H[13], 
Densities, 8.785105219117762, 9.355186120226303, 0.3685132771925079, 0.7584486409604686, 0.3962561446684264, 0.3557163012161264, 0.4036634476222806, 
Time[fs], 120.000000, 120.000000, 44.500000, 120.000000, 56.500000, 61.000000, 42.500000, 
Density Sum, 20.42288915100388
X Velocity[A/fs], -0.0027203, -0.00183043, -0.424293, -0.0173995, -0.250896, 0.237422, 0.456415,  
Y Velocity[A/fs],-0.00596475, 0.00103478, -0.108914, -0.0290984, 0.3182, 0.310977, -0.0975398,  
Z Velocity[A/fs],-0.00482783, -0.00493233, -0.16043, 0.0233449, 0.0161086, 0.00700627, 0.125803,  
Speed[A/fs],0.00814163, 0.00536182, 0.466502, 0.0411636, 0.405536, 0.391312, 0.483379, 

C4H10_low_temp_r8, C2H3[0][1][4][5][7], C2H3[2][3][10][11][12], H[6], H[8], H[9], H[13], 
Densities, 9.421910899685056, 9.65860575096842, 0.3651173739496054, 0.3746988880292593, 0.3323945309256152, 0.2053232157655948, 
