   30000   1.00000000E-03   1.00000000E-02
  7.20000000E-02 -5.77534238E-04 -4.68908321E-05  9.09022122E-04
  7.30000000E-02 -5.26606666E-04 -4.27559405E-05  9.19937329E-04
  7.40000000E-02 -4.75553528E-04 -3.86108431E-05  9.31087351E-04
  7.50000000E-02 -5.91288015E-04 -4.80072482E-05  9.86405530E-04
  7.60000000E-02 -5.40197568E-04 -4.38590960E-05  9.98050252E-04
  7.70000000E-02 -4.88866356E-04 -3.96913827E-05  1.00986801E-03
  7.80000000E-02 -4.37401249E-04 -3.55127835E-05  1.02187626E-03
  7.90000000E-02 -3.85970340E-04 -3.13369445E-05  1.03410849E-03
  8.00000000E-02 -5.01482246E-04 -4.07152029E-05  1.09049705E-03
  8.10000000E-02 -4.50322275E-04 -3.65613268E-05  1.10319815E-03
  8.20000000E-02 -3.99069544E-04 -3.23999033E-05  1.11605732E-03
  8.30000000E-02 -3.47826662E-04 -2.82392629E-05  1.12909074E-03
  8.40000000E-02 -2.96757317E-04 -2.40926954E-05  1.14233064E-03
  8.50000000E-02 -4.12765050E-04 -3.35111277E-05  1.19970848E-03
  8.60000000E-02 -3.62231181E-04 -2.94080053E-05  1.21337855E-03
  8.70000000E-02 -3.11729259E-04 -2.53074650E-05  1.22718549E-03
  8.80000000E-02 -2.61356769E-04 -2.12174230E-05  1.24114429E-03
  8.90000000E-02 -2.11272211E-04 -1.71507493E-05  1.25528607E-03
  9.00000000E-02 -3.28373736E-04 -2.66579346E-05  1.31354147E-03
  9.10000000E-02 -2.79037287E-04 -2.26519911E-05  1.32806318E-03
  9.20000000E-02 -2.29830665E-04 -1.86565911E-05  1.34269516E-03
  9.30000000E-02 -1.80845746E-04 -1.46791950E-05  1.35745155E-03
  9.40000000E-02 -1.32235409E-04 -1.07322154E-05  1.37236271E-03
  9.50000000E-02 -2.50892343E-04 -2.03656980E-05  1.43135881E-03
  9.60000000E-02 -2.03186309E-04 -1.64921516E-05  1.44659146E-03
  9.70000000E-02 -1.55679591E-04 -1.26347996E-05  1.46190420E-03
  9.80000000E-02 -1.08458631E-04 -8.80065974E-06  1.47731060E-03
  9.90000000E-02 -6.16710985E-05 -5.00172089E-06  1.49284054E-03
  1.00000000E-01 -1.82205021E-04 -1.47876498E-05  1.55242382E-03
  1.01000000E-01 -1.36424285E-04 -1.10704768E-05  1.56821136E-03
  1.02000000E-01 -9.08864774E-05 -7.37304231E-06  1.58404627E-03
  1.03000000E-01 -4.56729457E-05 -3.70194879E-06  1.59994159E-03
  1.04000000E-01 -9.26108501E-07 -6.87564718E-08  1.61592660E-03
  1.05000000E-01 -1.23529021E-04 -1.00227259E-05  1.67593046E-03
  1.06000000E-01 -7.98388554E-05 -6.47534234E-06  1.69210346E-03
  1.07000000E-01 -3.64080033E-05 -2.94902411E-06  1.70828813E-03
  1.08000000E-01  6.68757269E-06  5.50064292E-07  1.72449712E-03
  1.09000000E-01  4.93104305E-05  4.01076718E-06  1.74075946E-03
  1.10000000E-01 -7.54184918E-05 -6.11585199E-06  1.80100415E-03
  1.11000000E-01 -3.38512532E-05 -2.74086473E-06  1.81738176E-03
  1.12000000E-01  7.46288298E-06  6.13562599E-07  1.83373494E-03
  1.13000000E-01  4.84511236E-05  3.94152255E-06  1.85007667E-03
  1.14000000E-01  8.89789686E-05  7.23209830E-06  1.86643640E-03
  1.15000000E-01 -3.78301755E-05 -3.06344599E-06  1.92674329E-03
  1.16000000E-01  1.67571793E-06  1.44148985E-07  1.94314864E-03
  1.17000000E-01  4.09503279E-05  3.33295472E-06  1.95949505E-03
  1.18000000E-01  7.99244270E-05  6.49735319E-06  1.97579557E-03
  1.19000000E-01  1.18467221E-04  9.62672829E-06  1.99207966E-03
  1.20000000E-01 -1.02945557E-05 -8.27385904E-07  2.05227619E-03
  1.21000000E-01  2.72953176E-05  2.22461381E-06  2.06853727E-03
  1.22000000E-01  6.46931921E-05  5.26101897E-06  2.08470551E-03
  1.23000000E-01  1.01832180E-04  8.27640105E-06  2.10079459E-03
  1.24000000E-01  1.38583246E-04  1.12602865E-05  2.11683477E-03
  1.25000000E-01  8.07422323E-06  6.64299156E-07  2.17675539E-03
  1.26000000E-01  4.39627884E-05  3.57816327E-06  2.19271034E-03
  1.27000000E-01  7.97060589E-05  6.48023495E-06  2.20854268E-03
  1.28000000E-01  1.15237971E-04  9.36515186E-06  2.22426687E-03
  1.29000000E-01  1.50430355E-04  1.22225089E-05  2.23991386E-03
  1.30000000E-01  1.84119687E-05  1.50400232E-06  2.29941301E-03
  1.31000000E-01  5.28416060E-05  4.29944580E-06  2.31491962E-03
  1.32000000E-01  8.71775615E-05  7.08728960E-06  2.33027647E-03
  1.33000000E-01  1.21354793E-04  9.86225164E-06  2.34549828E-03
  1.34000000E-01  1.55245966E-04  1.26139924E-05  2.36061627E-03
  1.35000000E-01  2.19805403E-05  1.79426363E-06  2.41955958E-03
  1.36000000E-01  5.52173588E-05  4.49287904E-06  2.43448520E-03
  1.37000000E-01  8.84149912E-05  7.18830810E-06  2.44923587E-03
  1.38000000E-01  1.21508249E-04  9.87525711E-06  2.46382692E-03
  1.39000000E-01  1.54369562E-04  1.25433683E-05  2.47829015E-03
  1.40000000E-01  2.01284098E-05  1.64439618E-06  2.53655452E-03
  1.41000000E-01  5.24427476E-05  4.26808318E-06  2.55077871E-03
  1.42000000E-01  8.47710390E-05  6.89289079E-06  2.56480519E-03
  1.43000000E-01  1.17047519E-04  9.51347994E-06  2.57864965E-03
  1.44000000E-01  1.49143939E-04  1.21194390E-05  2.59234436E-03
  1.45000000E-01  1.41894820E-05  1.16249997E-06  2.64981816E-03
  1.46000000E-01  4.58404782E-05  3.73228921E-06  2.66323184E-03
  1.47000000E-01  7.75549461E-05  6.30724731E-06  2.67642795E-03
  1.48000000E-01  1.09266100E-04  8.88195179E-06  2.68942307E-03
  1.49000000E-01  1.40844578E-04  1.14458976E-05  2.70225033E-03
  1.50000000E-01  5.41898599E-06  4.50762458E-07  2.75883863E-03
  1.51000000E-01  3.66431914E-05  2.98595247E-06  2.77135107E-03
  1.52000000E-01  6.79744705E-05  5.52982741E-06  2.78363004E-03
  1.53000000E-01  9.93445897E-05  8.07684123E-06  2.79569264E-03
  1.54000000E-01  1.30622724E-04  1.06163703E-05  2.80757240E-03
  1.55000000E-01 -5.06322982E-06 -3.99959003E-07  2.86319774E-03
  1.56000000E-01  2.59377552E-05  2.11702186E-06  2.87473371E-03
  1.57000000E-01  5.70822477E-05  4.64560835E-06  2.88602237E-03
  1.58000000E-01  8.83004332E-05  7.18013264E-06  2.89708141E-03
  1.59000000E-01  1.19459822E-04  9.70984132E-06  2.90794519E-03
  1.60000000E-01 -1.63125863E-05 -1.31370656E-06  2.96254219E-03
  1.61000000E-01  1.46308027E-05  1.19838464E-06  2.97304013E-03
  1.62000000E-01  4.57454828E-05  3.72432884E-06  2.98328120E-03
  1.63000000E-01  7.69596128E-05  6.25830011E-06  2.99328399E-03
  1.64000000E-01  1.08138660E-04  8.78938360E-06  3.00308356E-03
  1.65000000E-01 -2.75914520E-05 -2.23094709E-06  3.05660812E-03
  1.66000000E-01  3.41307721E-06  2.85891933E-07  3.06602760E-03
  1.67000000E-01  3.46069399E-05  2.81804460E-06  3.07518368E-03
  1.68000000E-01  6.59165417E-05  5.35954326E-06  3.08409528E-03
  1.69000000E-01  9.72057634E-05  7.89934465E-06  3.09279780E-03
  1.70000000E-01 -3.83999061E-05 -3.11111323E-06  3.14521887E-03
  1.71000000E-01 -7.25995862E-06 -5.83514636E-07  3.15353062E-03
  1.72000000E-01  2.40801725E-05  1.96027290E-06  3.16157417E-03
  1.73000000E-01  5.55456435E-05  4.51418065E-06  3.16936889E-03
  1.74000000E-01  8.69990670E-05  7.06706320E-06  3.17695059E-03
  1.75000000E-01 -4.84343578E-05 -3.92966429E-06  3.22824642E-03
  1.76000000E-01 -1.71174837E-05 -1.38795922E-06  3.23543074E-03
  1.77000000E-01  1.44040326E-05  1.17029125E-06  3.24234412E-03
  1.78000000E-01  4.60541067E-05  3.73891739E-06  3.24900627E-03
  1.79000000E-01  7.76942699E-05  6.30668544E-06  3.25545339E-03
