r49, C4H4[0][1][4][2][3][5][6][7], H[8], H[9], H[10], H[11], 
Densities, 18.06622780395875, 0.2071694844468678, 0.1879590628742611, 0.3385647230678056, 0.4487738499969081, 
Time[fs], 120.000000, 77.000000, 63.000000, 64.500000, 57.000000, 
Density Sum, 19.24869492434459
X Velocity[A/fs], -0.0040633, -0.250081, 0.229564, -0.178344, 0.282548,  
Y Velocity[A/fs],-0.00951763, 0.188106, 0.24986, -0.266483, -0.129532,  
Z Velocity[A/fs],0.00514697, -0.114216, 0.186131, 0.151653, -0.214678,  
Speed[A/fs],0.011558, 0.333122, 0.387007, 0.354709, 0.377755, 

r95, C4H4[0][1][2][3][4][5][6][7], H[8], H[9], H[10], H[11],
Densities, 17.99543517258601, 0.340992997980056, 0.1642243472517515, 0.376808799465867, 0.3916640347787232,
Time[fs], 100.000000, 71.500000, 59.000000, 64.000000, 70.000000,
Density Sum, 19.26912535206241
X Velocity[A/fs], 0.00430715, -0.21104, 0.273394, -0.233516, 0.20238,
Y Velocity[A/fs],-0.00974658, 0.138362, 0.222827, -0.211698, -0.198793,
Z Velocity[A/fs],0.00269862, -0.201133, 0.193879, 0.153547, -0.135007,
Speed[A/fs],0.0109923, 0.322701, 0.402474, 0.350603, 0.314171,

r3, C4H5[0][1][2][8][3][5][6][7][11], H[4], H[9], H[10],
Densities, 18.48722872247912, 0.3352668491599047, 0.2116881079557213, 0.3188789965561709,
Time[fs], 120.000000, 75.500000, 68.500000, 53.500000,
Density Sum, 19.35306267615091
X Velocity[A/fs], -0.00299716, -0.204754, 0.253053, -0.341383,
Y Velocity[A/fs],0.00581415, 0.241779, 0.248257, -0.20591,
Z Velocity[A/fs],-0.00702858, 0.0937807, 0.156906, 0.145319,
Speed[A/fs],0.00960148, 0.330418, 0.387668, 0.424334,

r85, C4H4[0][1][2][3][4][5][6][7], H[8], H[9], H[10], H[11],
Densities, 17.97476724894688, 0.2601162660027779, 0.1812657941110625, 0.5983559458239122, 0.390708396352376,
Time[fs], 120.000000, 57.000000, 61.000000, 113.000000, 87.000000,
Density Sum, 19.40521365123701
X Velocity[A/fs], -0.0022321, -0.323393, 0.239058, -0.122891, 0.168547,
Y Velocity[A/fs],-0.000264985, 0.194662, 0.273278, -0.00490391, -0.177096,
Z Velocity[A/fs],0.000981509, -0.167945, 0.128612, 0.178308, -0.16949,
Speed[A/fs],0.00245272, 0.413137, 0.385189, 0.21661, 0.297486,

r90, C4H5[0][1][2][3][4][5][9][6][7], H[8], H[10], H[11],
Densities, 18.26209406716431, 0.3772207971452426, 0.3906357767672422, 0.3540521720610141,
Time[fs], 120.000000, 55.500000, 104.000000, 56.500000,
Density Sum, 19.38400281313781
X Velocity[A/fs], -0.00483653, -0.328893, -0.145529, 0.333703,
Y Velocity[A/fs],-0.00153703, 0.199139, -0.142477, -0.236058,
Z Velocity[A/fs],0.000798561, -0.159504, 0.228506, -0.0705625,
Speed[A/fs],0.00513733, 0.416255, 0.306094, 0.414801,

r22, C2H3[0][2][4][8][10], C2H4[1][3][5][9][7][11], H[6],
Densities, 9.546503650975005, 10.06689538367482, 0.1716552477780765,
Time[fs], 116.500000, 116.500000, 85.500000,
Density Sum, 19.7850542824279
X Velocity[A/fs], -0.0196378, 0.026561, -0.288757,
Y Velocity[A/fs],0.034586, 0.00156591, -0.071793,
Z Velocity[A/fs],-0.00127796, 0.00431146, -0.245522,
Speed[A/fs],0.0397928, 0.0269542, 0.385767,

r73, C4H4[0][1][2][3][4][5][6][7], H[8], H[9], H[10], H[11],
Densities, 18.02145918277158, 0.3352063597187288, 0.4770803555913883, 0.2806248354986401, 0.2816169858704951,
Time[fs], 120.000000, 65.500000, 65.500000, 69.000000, 74.500000,
Density Sum, 19.39598771945083
X Velocity[A/fs], -0.00765629, -0.26558, 0.236827, -0.262512, 0.231012,
Y Velocity[A/fs],-0.00809649, 0.220438, 0.200587, -0.238694, -0.201872,
Z Velocity[A/fs],-0.000637551, -0.0980149, 0.151078, 0.0514911, -0.115761,
Speed[A/fs],0.0111615, 0.358793, 0.345176, 0.358523, 0.327902,

r40, C4H6[0][1][2][4][5][9][3][6][7][11], H[8], H[10],
Densities, 19.06513360165344, 0.2549652108542256, 0.1001206776598929,
Time[fs], 120.000000, 71.500000, 57.000000,
Density Sum, 19.42021949016756
X Velocity[A/fs], 0.0227902, -0.0471147, -0.353738,
Y Velocity[A/fs],-0.00084581, 0.275214, -0.10926,
Z Velocity[A/fs],0.00941998, -0.23232, 0.219654,
Speed[A/fs],0.0246748, 0.363229, 0.430484,

r34, C4H5[0][1][2][3][4][5][6][7][11], H[8], H[9], H[10],
Densities, 18.58333999868088, 0.07563258662670595, 0.2506129786282891, 0.5699255437563182,
Time[fs], 120.000000, 64.000000, 70.000000, 107.000000,
Density Sum, 19.4795111076922
X Velocity[A/fs], 0.00421298, -0.315579, 0.104583, -0.043668,
Y Velocity[A/fs],-0.00837383, 0.0970536, 0.273589, -0.152055,
Z Velocity[A/fs],-0.000919729, -0.2442, 0.189711, 0.184198,
Speed[A/fs],0.00941893, 0.410662, 0.348968, 0.24281,

r75, C4H5[0][1][2][4][3][5][6][7][11], H[8], H[9], H[10],
Densities, 18.09190324212499, 0.1262205976480057, 0.5339836778973598, 0.6042662375614298,
Time[fs], 120.000000, 62.500000, 57.500000, 51.500000,
Density Sum, 19.35637375523178
X Velocity[A/fs], 0.00432843, -0.221776, 0.307948, -0.332605,
Y Velocity[A/fs],-0.00142853, 0.343742, 0.197198, -0.191813,
Z Velocity[A/fs],0.00219427, -0.0703121, 0.103491, 0.132971,
Speed[A/fs],0.00505873, 0.415075, 0.380039, 0.406324,

r11, C2H4[0][1][4][8][5][9], C2H[2][3][11], H[6], H[7], H[10],
Densities, 10.12036625625242, 7.906686323267748, 0.582740073564062, 0.2878290656653033, 0.8007985101016873,
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,
Density Sum, 19.69842022885122
X Velocity[A/fs], -0.018991, 0.00731649, -0.00671812, 0.143095, 0.0329562,
Y Velocity[A/fs],0.0180646, -0.0338048, -0.026663, 0.0250223, -0.027066,
Z Velocity[A/fs],-0.000908396, 0.00331614, 0.00551731, 0.16307, -0.0181593,
Speed[A/fs],0.0262262, 0.0347461, 0.0280445, 0.21839, 0.0463512,

r67, C4H4[0][1][2][4][3][5][6][7], H[8], H[9], H[10], H[11],
Densities, 18.05225281355238, 0.3442196556497889, 0.3446144637977361, 0.3979344773261463, 0.2461718388350783,
Time[fs], 120.000000, 72.000000, 61.500000, 96.500000, 64.500000,
Density Sum, 19.38519324916113
X Velocity[A/fs], 0.00238704, -0.256044, 0.0849578, -0.114148, 0.314748,
Y Velocity[A/fs],-0.00610107, 0.124473, 0.303369, -0.181934, -0.144727,
Z Velocity[A/fs],-0.00401292, -0.196899, 0.170776, 0.14061, -0.107998,
Speed[A/fs],0.00768275, 0.346152, 0.35835, 0.256712, 0.362872,

r47, C4H6[0][1][2][3][4][5][9][6][10][7], H[8], H[11],
Densities, 19.36603101135456, 0.1654482552911456, 0.08876529676509583,
Time[fs], 120.000000, 120.000000, 61.000000,
Density Sum, 19.6202445634108
X Velocity[A/fs], -0.00504815, -0.176095, 0.330332,
Y Velocity[A/fs],0.000305645, -0.176863, -0.129652,
Z Velocity[A/fs],-0.000879519, 0.0665522, -0.228953,
Speed[A/fs],0.0051333, 0.258301, 0.422313,

r63, C4H3[0][1][2][3][5][6][7], H[4], H[8], H[9], H[10], H[11],
Densities, 16.93727533460738, 0.5509658062776831, 0.3504503086523324, 0.2895652677983066, 0.8644388980440026, 0.3590905915212109,
Time[fs], 91.000000, 85.000000, 73.500000, 64.500000, 91.000000, 64.500000,
Density Sum, 19.35178620690092
