C2H6_10r13, C2H[0][1][7], H[2], H[3], H[4], H[5], H[6], 
Densities, 8.064557459498282, 0.2491797825799796, 0.2285002455157466, 0.2182392354088301, 0.2368860208686098, 0.6276385237272427, 
Time[fs], 100.000000, 44.000000, 41.500000, 74.000000, 43.500000, 48.500000, 
Density Sum, 9.625001267598691
X Velocity[A/fs], 0.00467625, 0.324459, -0.346028, 0.0418323, -0.329756, 0.25445,  
Y Velocity[A/fs],0.00263038, 0.160275, 0.213545, 0.0911344, -0.211748, -0.199143,  
Z Velocity[A/fs],-0.0146707, 0.247332, 0.221502, -0.184207, -0.233225, -0.213687,  
Speed[A/fs],0.015621, 0.438332, 0.463033, 0.209732, 0.456038, 0.387382, 

C2H6_10r12, C2H[0][1][4], H[2], H[3], H[5], H[6], H[7], 
Densities, 7.808643799056355, 0.3277276835075588, 0.5322411013870694, 0.3258263511370502, 0.3072473801919894, 0.4897138160798875, 
Time[fs], 99.500000, 39.000000, 59.500000, 40.000000, 50.500000, 88.500000, 
Density Sum, 9.791400131359913
X Velocity[A/fs], -0.00206827, 0.39041, -0.189442, -0.379557, 0.202706, 0.0110226,  
Y Velocity[A/fs],0.000639915, 0.19037, 0.192153, -0.181995, -0.17763, -0.106208,  
Z Velocity[A/fs],0.0143151, 0.185996, 0.176388, -0.207044, -0.255537, 0.151893,  
Speed[A/fs],0.0144779, 0.472499, 0.322372, 0.469098, 0.371404, 0.185669, 

C2H6_10r20, C2H[0][1][7], H[2], H[3], H[4], H[5], H[6], 
Densities, 7.926294106116318, 0.3883874187809094, 0.2057368368905413, 0.3413888846277138, 0.2570881548170671, 0.4923051802261669, 
Time[fs], 100.000000, 40.500000, 46.000000, 75.500000, 42.500000, 44.500000, 
Density Sum, 9.611200581458716
X Velocity[A/fs], 0.000127469, 0.366941, -0.293311, 0.0352399, -0.339421, 0.295864,  
Y Velocity[A/fs],-0.0116613, 0.144867, 0.247846, 0.0899303, -0.224105, -0.177499,  
Z Velocity[A/fs],-0.0131351, 0.201576, 0.210421, -0.189963, -0.215301, -0.242346,  
Speed[A/fs],0.0175651, 0.443018, 0.437876, 0.213109, 0.4602, 0.421631, 

C2H6_10r16, C2H[0][1][4], H[2], H[3], H[5], H[6], H[7], 
Densities, 8.093467533366017, 0.271870335242581, 0.2010537032982237, 0.04360155282155635, 0.6969708415528888, 0.3981843820780317, 
Time[fs], 73.000000, 43.500000, 46.500000, 45.500000, 44.500000, 73.000000, 
Density Sum, 9.705148348359296
X Velocity[A/fs], 0.00454396, 0.3252, -0.2555, -0.294198, 0.272244, -0.00298892,  
Y Velocity[A/fs],-0.00713902, 0.181736, 0.208144, -0.258816, -0.129505, -0.00506688,  
Z Velocity[A/fs],-0.00609303, 0.191979, 0.256938, -0.242544, -0.191161, 0.0457186,  
Speed[A/fs],0.0104278, 0.419093, 0.417877, 0.460832, 0.356974, 0.0460955, 

C2H6_10r4, C2H[0][1][4], H[2], H[3], H[5], H[6], H[7], 
Densities, 8.067680040963774, 0.1083242598942662, 0.4916826325541069, 0.4468822861365207, 0.1660802350706693, 0.2617185580020335, 
Time[fs], 82.500000, 44.000000, 40.500000, 40.500000, 51.000000, 70.000000, 
Density Sum, 9.542368012621372
X Velocity[A/fs], 0.00144979, 0.319886, -0.336949, -0.350139, 0.229653, 0.0072058,  
Y Velocity[A/fs],-0.00757886, 0.267453, 0.161751, -0.14389, -0.246238, -0.119738,  
Z Velocity[A/fs],-0.00324055, 0.213099, 0.191191, -0.184968, -0.234869, 0.16547,  
Speed[A/fs],0.00836912, 0.468262, 0.419824, 0.421325, 0.410533, 0.204376, 

C2H6_10r10, C2H[0][1][4], H[2], H[3], H[5], H[6], H[7], 
Densities, 8.015036862286939, 0.3088295523717147, 0.259997610738528, 0.4294320838467327, 0.1919634363482281, 0.4549200584154514, 
Time[fs], 76.500000, 47.500000, 40.000000, 48.000000, 40.000000, 76.500000, 
Density Sum, 9.660179604007594
X Velocity[A/fs], 0.000183191, 0.268525, -0.356363, -0.259207, 0.367518, 0.00509612,  
Y Velocity[A/fs],0.0143234, 0.198366, 0.147612, -0.19751, -0.18704, -0.00913268,  
Z Velocity[A/fs],0.00271642, 0.237027, 0.259284, -0.16362, -0.213729, 0.0951692,  
Speed[A/fs],0.0145799, 0.409435, 0.464771, 0.36465, 0.464471, 0.0957421, 

C2H6_10r18, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.147864775383015, 0.3553922348439856, 0.1956083562929404, 0.7964596988451171, 0.2925046075084521, 0.308686948022879, 0.4161857825176857, 
Time[fs], 82.000000, 51.000000, 39.500000, 82.000000, 47.500000, 37.000000, 65.000000, 
Density Sum, 9.512702403414073
X Velocity[A/fs], 0.000153007, 0.242634, -0.379078, 0.00137151, -0.266402, 0.420791, -0.0130295,  
Y Velocity[A/fs],0.000753835, 0.148987, 0.165965, -0.108496, -0.164648, -0.149943, -0.172346,  
Z Velocity[A/fs],0.0160984, 0.221722, 0.236373, -0.0606185, -0.244337, -0.180469, 0.13911,  
Speed[A/fs],0.0161167, 0.360873, 0.476568, 0.124289, 0.397214, 0.481786, 0.221866, 

C2H6_10r22, C2H[0][1][7], H[2], H[3], H[4], H[5], H[6], 
Densities, 7.861050971851276, 0.3555677924316404, 0.2208851287601057, 0.327017962858241, 0.2699932843222128, 0.4425100910966964, 
Time[fs], 80.500000, 36.000000, 48.500000, 76.500000, 39.000000, 52.500000, 
Density Sum, 9.477025231320173
X Velocity[A/fs], 0.00267872, 0.441343, -0.271176, 0.00929708, -0.386155, 0.225516,  
Y Velocity[A/fs],0.00426558, 0.132908, 0.204839, 0.143692, -0.158595, -0.168264,  
Z Velocity[A/fs],0.0102875, 0.203692, 0.232755, -0.123333, -0.22544, -0.211218,  
Speed[A/fs],0.0114544, 0.503923, 0.41191, 0.189591, 0.474438, 0.351828, 

C2H6_10r1, C2H[0][1][4], H[2], H[3], H[5], H[6], H[7], 
Densities, 7.923659544411326, 0.2266596814208334, 0.2998392553436298, 0.6846628926897643, 0.1686941953869603, 0.2056575995345027, 
Time[fs], 120.000000, 47.000000, 39.000000, 41.500000, 46.000000, 80.000000, 
Density Sum, 9.509173168787017
X Velocity[A/fs], 0.00261464, 0.298482, -0.391049, -0.330042, 0.306535, -0.00089723,  
Y Velocity[A/fs],-0.00604199, 0.215233, 0.163824, -0.108372, -0.219486, -0.144248,  
Z Velocity[A/fs],0.00809232, 0.233954, 0.208777, -0.210484, -0.282418, 0.174849,  
Speed[A/fs],0.010432, 0.436063, 0.472594, 0.406172, 0.47106, 0.226672, 

C2H6_10r5, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.547469780264835, 0.2235226547165586, 0.3284886856144569, 0.4150904202383047, 0.2968707489771353, 0.2648223590380083, 0.5766521181199559, 
Time[fs], 77.500000, 49.500000, 39.500000, 77.500000, 41.000000, 51.000000, 77.500000, 
Density Sum, 9.652916766969254
X Velocity[A/fs], 0.00206657, 0.202174, -0.356767, 0.01968, -0.338497, 0.24808, 0.0236389,  
Y Velocity[A/fs],0.000620104, 0.21127, 0.169443, 0.0557122, -0.166563, -0.230152, -0.115868,  
Z Velocity[A/fs],-0.000843396, 0.238177, 0.206118, -0.0910162, -0.184102, -0.19476, 0.0963811,  
Speed[A/fs],0.00231658, 0.377144, 0.445509, 0.108513, 0.419782, 0.390442, 0.152556, 

C2H6_10r25, C2H[0][1][7], H[2], H[3], H[4], H[5], H[6], 
Densities, 8.184749016067341, 0.2259299399371345, 0.2289181049668005, 0.5480770363561666, 0.2739566761970326, 0.2110706620488185, 
Time[fs], 85.000000, 49.500000, 40.000000, 68.000000, 51.500000, 39.000000, 
Density Sum, 9.672701435573295
