C4H10_7_5z_r5, C4H7[0][1][4][6][2][8][3][9][11][12][13], H[5], H[7], H[10], 
Speed[A/fs],0.00550012, 0.422762, 0.3507, 

C4H10_7_5z_r11, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.52158157815718, 0.1797855520386385, 0.1222704140701918, 
Time[fs], 63.000000, 48.000000, 46.500000, 
Density Sum, 21.82363754426601
X Velocity[A/fs], 0.00450179, -0.0611795, 0.05189,  
Y Velocity[A/fs],-0.00209597, 0.134072, 0.156916,  
Z Velocity[A/fs],0.000800275, -0.356155, 0.366991,  
Speed[A/fs],0.00502988, 0.385441, 0.402489, 

C4H10_7_5z_r48, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.1518156637898, 0.2927557682429541, 0.1857603201358002, 
Time[fs], 64.000000, 46.500000, 47.500000, 
Density Sum, 21.63033175216855
X Velocity[A/fs], 0.00507676, -0.0371489, 0.0311593,  
Y Velocity[A/fs],-0.00234145, 0.17249, 0.155206,  
Z Velocity[A/fs],0.00130979, -0.361939, 0.373487,  
Speed[A/fs],0.00574208, 0.402657, 0.405651, 

C4H10_7_5z_r4, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.588660415716, 0.1254924373580048, 0.2183638416760202, 
Time[fs], 83.000000, 46.000000, 61.500000, 
Density Sum, 21.93251669475002
X Velocity[A/fs], -0.000150735, -0.056903, 0.0780857,  
Y Velocity[A/fs],0.00353563, 0.118281, 0.202529,  
Z Velocity[A/fs],-0.00909726, -0.413199, 0.278264,  
Speed[A/fs],0.00976133, 0.433546, 0.352911, 

C4H10_7_5z_r40, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.54992356593572, 0.09080855945752388, 0.2583772371587427, 
Time[fs], 62.000000, 56.000000, 45.500000, 
Density Sum, 21.89910936255199
X Velocity[A/fs], 0.00648858, -0.067178, 0.0051538,  
Y Velocity[A/fs],-0.00299491, 0.181544, 0.151478,  
Z Velocity[A/fs],0.00840285, -0.297581, 0.371478,  
Speed[A/fs],0.0110308, 0.355001, 0.401208, 

C4H10_7_5z_r8, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.44366370222519, 0.153984263281489, 0.2252506617861762, 
Time[fs], 69.500000, 51.000000, 52.000000, 
Density Sum, 21.82289862729285
X Velocity[A/fs], -0.00526459, -0.0864198, 0.0652878,  
Y Velocity[A/fs],-0.0106611, 0.158413, 0.167227,  
Z Velocity[A/fs],0.00408647, -0.346501, 0.332793,  
Speed[A/fs],0.0125727, 0.390674, 0.378125, 

C4H10_7_5z_r24, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
