r49, CH2, C3H2, H, H, H, H, H, H, 
Densities, 5.183122878743573, 12.52431725962072, 0.1728272811015358, 0.4917687963364842, 0.5502919612302899, 0.3324708950694157, 0.5447169009611216, 0.3845252545506822, 
Time[fs], 114.000000, 114.000000, 40.000000, 81.000000, 56.000000, 56.500000, 88.500000, 42.000000, 
Density Sum, 20.18404122761383
X Velocity[A/fs], 0.00136448, 0.0136781, -0.504866, -0.0652922, -0.223956, 0.283147, 0.0800475, 0.463774,  
Y Velocity[A/fs],-0.00875547, -0.00883612, -0.0844091, 0.0936042, 0.29345, 0.31123, 0.139784, -0.113885,  
Z Velocity[A/fs],-0.00363876, 0.00918917, -0.0926237, -0.2329, -0.00531507, -0.0456348, 0.181227, 0.124529,  
Speed[A/fs],0.00957917, 0.0186978, 0.520186, 0.259359, 0.369185, 0.423224, 0.242467, 0.493522, 

r3, C4H4, H, H, H, H, H, H, 
Densities, 17.99515779442083, 0.1981460651303269, 0.4835969484642429, 0.3146662690934246, 0.5315315909243505, 0.3596091539687077, 0.3044124086920929, 
Time[fs], 120.000000, 39.500000, 103.500000, 73.000000, 61.000000, 79.500000, 43.000000, 
Density Sum, 20.18712023069398
X Velocity[A/fs], 0.00855121, -0.507361, -0.0439849, -0.240763, 0.242151, 0.0540355, 0.459647,  
Y Velocity[A/fs],-0.00597468, -0.0820325, 0.0345129, 0.24011, 0.273481, 0.129839, -0.0982038,  
Z Velocity[A/fs],-0.00643365, -0.138461, -0.190169, -0.0291859, -0.0266526, 0.256708, 0.126933,  
Speed[A/fs],0.0122561, 0.532275, 0.198217, 0.341279, 0.36625, 0.292707, 0.486859, 

r22, C2H3, C2H3, H, H, H, H, 
Densities, 9.369561072446519, 9.495050444251612, 0.5012000223060055, 0.2432099669527322, 0.3012879181598784, 0.4274380148482327, 
Time[fs], 120.000000, 120.000000, 42.000000, 58.500000, 57.500000, 47.000000, 
Density Sum, 20.33774743896498
X Velocity[A/fs], -0.0121331, 0.027388, -0.448061, -0.246645, 0.263484, 0.392642,  
Y Velocity[A/fs],-0.0149632, 0.00292646, -0.103415, 0.325857, 0.329295, -0.140343,  
Z Velocity[A/fs],0.00331779, -0.00505238, -0.124854, -0.00696692, -0.0136964, 0.200546,  
Speed[A/fs],0.0195478, 0.0280035, 0.476489, 0.408737, 0.421956, 0.462691, 

r40, C3H, CH2, H, H, H, H, H, H, H, 
Densities, 12.173496331163, 5.23921545405049, 0.4116332724160926, 0.3474594200489093, 0.4544218689125936, 0.5280546344969482, 0.3299247823101604, 0.4934886983328672, 0.1787060664357146, 
Time[fs], 120.000000, 120.000000, 89.000000, 44.500000, 78.000000, 57.500000, 64.500000, 114.000000, 41.000000, 
Density Sum, 20.15640052816678
X Velocity[A/fs], -0.00492754, 0.0117701, -0.191085, -0.434411, -0.0687187, -0.246168, 0.240306, 0.0331109, 0.503229,  
Y Velocity[A/fs],0.00269149, -0.0302624, -0.083941, -0.105166, 0.113618, 0.296708, 0.276033, 0.0916855, -0.0765742,  
Z Velocity[A/fs],-0.0150527, -0.00128366, 0.1187, -0.187629, -0.235697, 0.0113851, 0.0119505, 0.134021, 0.0707332,  
Speed[A/fs],0.0160658, 0.0324961, 0.240103, 0.484745, 0.270526, 0.385699, 0.366175, 0.165723, 0.513913, 

r34, CH2, C3, H, H, H, H, H, H, H, H, 
Densities, 5.396013292849918, 11.15580214598532, 0.3686428198540648, 0.3873016533322809, 0.3844386553395571, 0.6265614783137231, 0.3488125690329596, 0.4512537010384183, 0.55716017807828, 0.2734900784677745, 
Time[fs], 120.000000, 120.000000, 40.000000, 61.500000, 54.500000, 54.000000, 64.500000, 103.000000, 85.000000, 40.500000, 
Density Sum, 19.94947657229229
X Velocity[A/fs], -0.0270095, -0.0075708, -0.481188, -0.0444131, -0.225977, 0.247041, 0.0515722, 0.154159, 0.182006, 0.500138,  
Y Velocity[A/fs],-0.0251541, -0.008573, -0.0724906, 0.119553, 0.331411, 0.303036, 0.130872, -0.019384, -0.146594, -0.0889059,  
Z Velocity[A/fs],0.00252152, -0.0159077, -0.13122, -0.312201, 0.0334612, -0.0174725, 0.307783, 0.0883423, -0.128973, 0.182475,  
Speed[A/fs],0.0369946, 0.0195925, 0.503999, 0.337246, 0.402515, 0.391363, 0.338405, 0.178732, 0.266927, 0.539759, 

r11, C2H3, C2H2, H, H, H, H, H, 
Densities, 9.646698987797219, 8.840473395335746, 0.1533293665703337, 0.2475749105878127, 0.4331609508557563, 0.3408904463582693, 0.5269229001811994, 
Time[fs], 120.000000, 120.000000, 40.000000, 62.000000, 54.500000, 76.000000, 45.500000, 
Density Sum, 20.18905095768633
X Velocity[A/fs], -0.0102322, 0.0165473, -0.508463, -0.233024, 0.260975, 0.0589357, 0.405007,  
Y Velocity[A/fs],-0.0153066, -0.0160406, -0.0434874, 0.298646, 0.320244, 0.1441, -0.102194,  
Z Velocity[A/fs],-0.00311272, -0.00745037, -0.157034, -0.0122766, -0.0382432, 0.261577, 0.161833,  
Speed[A/fs],0.018673, 0.0242203, 0.533934, 0.378999, 0.414881, 0.304402, 0.447955, 

r47, C3H3, CH2, H, H, H, H, H, 
Densities, 13.39823043693196, 4.93557411131869, 0.3534017730048583, 0.5016732031660108, 0.2504276063181533, 0.3858120247695283, 0.4408441279896039, 
Time[fs], 120.000000, 120.000000, 47.000000, 107.500000, 56.500000, 59.000000, 41.000000, 
Density Sum, 20.26596328349881
X Velocity[A/fs], -0.0173372, 0.0263166, -0.399706, -0.0570271, -0.271385, 0.239405, 0.471222,  
Y Velocity[A/fs],-0.00786433, -0.0176415, -0.146555, 0.109066, 0.328989, 0.302812, -0.0845499,  
Z Velocity[A/fs],-0.000887635, 0.00663639, -0.194177, -0.241208, 0.00278465, -0.00929625, 0.103535,  
Speed[A/fs],0.0190581, 0.0323702, 0.467919, 0.270793, 0.426487, 0.38613, 0.489815, 

r6, C3H2, CH2, H, H, H, H, H, H, 
Densities, 12.51169766883383, 5.100350063295774, 0.536306529171437, 0.5643505839434815, 0.4124202203631292, 0.1978349352941851, 0.3986333619752202, 0.469545497511227, 
Time[fs], 120.000000, 120.000000, 100.000000, 43.500000, 75.500000, 55.500000, 54.500000, 44.500000, 
Density Sum, 20.19113886038829
X Velocity[A/fs], -0.0157548, 0.0424529, -0.145665, -0.433611, -0.0697973, -0.25735, 0.292744, 0.430122,  
Y Velocity[A/fs],-0.00466689, -0.0253792, -0.073973, -0.147042, 0.0506605, 0.361861, 0.315114, -0.107034,  
Z Velocity[A/fs],0.0183954, -0.00376664, 0.183367, -0.085221, -0.288986, -0.0556179, -0.0389791, 0.12882,  
Speed[A/fs],0.0246655, 0.0496038, 0.245589, 0.465728, 0.301581, 0.447511, 0.431874, 0.46158, 

r27, C3H, CH2, H, H, H, H, H, H, H, 
Densities, 12.0146042085649, 5.050774250997499, 0.5864220823406078, 0.560660174156898, 0.5819047202085194, 0.2939112868938188, 0.292480768218046, 0.454409227801055, 0.2963681095389246, 
Time[fs], 120.000000, 120.000000, 103.500000, 42.000000, 82.000000, 54.500000, 56.500000, 77.000000, 42.000000, 
Density Sum, 20.13153482872027
X Velocity[A/fs], -0.00364549, 0.012059, -0.139223, -0.457333, -0.0647669, -0.270765, 0.267531, 0.0780831, 0.473316,  
